#TEB_ID, MET, Reliability, Date, UTC, Fermi_Lon, Fermi_Lat, Fermi_Alt, Footprint_Lon, Footprint_Lat, OS_ID, TRG_ID
TEB080807357, 239790805.180500, 1,  2008-08-07,  08:33:24.18050,  253.0063,  15.3954,  551.48, 253.0063, 15.3954, oTGF080807357, tTGF080807357 
TEB090510498, 263649437.983000, 0,  2009-05-10,  11:57:15.98300,  24.0760,  -5.2838,  556.39, 24.31, -10.51, oTGF090510498, tTGF090510498
TEB090813215, 271833016.775000, 1,  2009-08-13,  05:10:14.77500,  278.2833,  -2.2043,  547.75, 278.17, 7.00, oTGF090813215, tTGF090813215
TEB091214495, 282484409.830000, 1,  2009-12-14,  11:53:27.83000,  31.4127,  25.4777,  541.71, 31.93, -13.13, oTGF091214495, tTGF091214495
TEB100515316, 295601707.798000, 1,  2010-05-15,  07:35:05.79800,  278.2830,  -0.9822,  539.78, 278.14, 7.55, oTGF100515316, tTGF100515316 
TEB110410216, 324105023.026000, 1,  2011-04-10,  05:10:21.02600,  286.3715,  +0.1463,  558.08, 285.48, 8.55, oTGF110410216, tTGF110410216
TEB110625474, 330693748.476000, 1,  2011-06-25,  11:22:26.47600,  111.0001,  14.5574,  557.06, 110.73, 23.75, oTGF110625474, tTGF110625474
TEB111019255, 340697273.287000, 0,  2011-10-19,  06:07:51.28700,  278.8671,  20.7790,  555.91, 278.56, 24.30, oTGF111019255, NULL
TEB111027761, 341432159.840450, 1,  2011-10-27,  18:15:57.84045,  154.4571,  +2.1237,  553.68, 153.14, -9.38, NULL, tTGF111027761
TEB120221656, 351531885.918000, 0,  2012-02-21,  15:44:43.91800,  14.2378,  -1.0850,  537.96, 14.56, 28.29, oTGF120221656a, NULL
TEB120630041, 362710757.601500, 0,  2012-06-30,  00:59:15.60150,  265.4098,  19.3112,  550.06, 265.61, 23.05, oTGF120630041, NULL
TEB121015732, 372015242.415000, 1,  2012-10-15,  17:33:59.41500,  136.3150,  3.3345,  537.30, 135.77, -8.01, oTGF121015732, tTGF121015732
TEB121114355, 374574633.580000, 1,  2012-11-14,  08:30:30.58000,  125.6470,  25.6598,  539.50, 125.47, -15.12, oTGF121114355, tTGF121114355
TEB121224612, 378052918.476000, 1,  2012-12-24,  14:41:55.47600,  18.8104,  12.5782,  545.57, 18.88, -3.85, oTGF121224612, tTGF121224612
TEB130306223, 384240031.252146, 1,  2013-03-06,  05:20:28.25215,  73.1122,  +18.2768,  545.23, 74.99, -10.46, NULL, tTGF130306223
TEB130415857, 387750856.180500, 1,  2013-04-15,  20:34:13.18050,  109.4869,  -1.8152,  534.44, 109.41, -9.62, oTGF130415857, tTGF130415857
TEB130515615, 390321898.041000, 0,  2013-05-15,  14:44:55.04100,  109.6824,  17.3700,  551.84, 109.43, 25.03, oTGF130515615, NULL
TEB130518976, 390612300.689442, 1,  2013-05-18,  23:24:57.68944,  221.6936,  +19.6292,  535.99, 211.53, -28.02, NULL, tTGF130518976
TEB130521580, 390837349.047000, 1,  2013-05-21,  13:55:46.04700,  109.1414,  3.3822,  549.83, 109.07, -7.74, oTGF130521580, tTGF130521580
TEB130621612, 393518465.707500, 0,  2013-06-21,  14:41:02.70750,  92.8918,  19.9296,  533.41, 92.81, 26.31, oTGF130621612, NULL
TEB140204581, 413214997.061000, 1,  2014-02-04,  13:56:34.06100,  44.2748,  -18.3387,  554.82, 45.22, -21.67, oTGF140204581, tTGF140204581
TEB140807514, 429106794.484000, 0,  2014-08-07,  12:19:51.48400,  113.0490,  -5.1077,  541.71, 112.51, 26.53, oTGF140807514, tTGF140807514
TEB141123678, 438452185.700000, 0,  2014-11-23,  16:16:22.70000,  77.6735,  19.2407,  542.16, 79.45, -10.89, oTGF141123678a, tTGF141123678
TEB150202436, 444565645.942000, 1,  2015-02-02,  10:27:22.94200,  30.0991,  -4.1309,  545.42, 30.26, -10.00, oTGF150202436, tTGF150202436
TEB150726964, 459644913.813500, 0,  2015-07-26,  23:08:29.813500,  123.6950,  13.5013,  541.83, 123.24, 23.36, oTGF150726964, NULL
TEB160113308, 474362627.990000, 1,  2016-01-13,  07:23:43.990000,  106.2004,  10.2274,  523.44, 106.23, -7.18, oTGF160113308, tTGF160113308
TEB160311670, 479405114.760000, 0,  2016-03-11,  16:05:10.760000,  27.0240,  5.7870,  540.60, 26.93, -4.98, oTGF160311670, tTGF160311670
TEB160420112, 482812865.372000, 1,  2016-04-20,  02:41:01.372000,  294.5456,  -0.5940,  535.84, 299.87, -27.42, oTGF160420112, tTGF160420112  
TEB160424403, 483183643.640000, 1,  2016-04-24,  09:40:39.640000,  143.8082,  5.3148,  526.08,  142.97, -7.58, NULL, tTGF160424403
TEB160510196, 484548158.041000, 1,  2016-05-10,  04:42:34.041000,  118.4058,  -5.7915,  536.14, 118.28, -12.22, oTGF160510196, tTGF160510196
