#ID, MET, Date, UTC, Fermi_Lon, Fermi_Lat, Count, WWLLN_Lon, WWLLN_Lat, Separation_ms, Offset_km, Fermi_Azimuth, Fermi_Elevation, Right_Ascension, Declination, Comment
oTGF081001392 ,  244545885.913770, 2008-10-01, 09:24:44.913770,162.6720, +10.5345, 1, 163.1578, +11.2940,  -2.487,   99.4, 105.3, 150.5,  73.3,  +4.5, NULL
oTGF081113322 ,  248255045.236800, 2008-11-13, 07:44:04.236800,  7.3250,  +2.9078, 1,   9.0095,  +0.9035,  +1.262,  290.2, 281.1, 127.4, 275.2, -56.8, NULL
oTGF081123874 ,  249166723.321200, 2008-11-23, 20:58:42.321200,129.8764, -16.0390, 1, 129.4286, -16.1782,  -0.062,   50.3,  99.6, 149.1,  36.0, +45.1, NULL
oTGF090808739b,  271446291.528575, 2009-08-08, 17:44:49.528574,303.3364,  +2.6440, 1, 300.1307,  +3.4615,  -0.028,  367.6,  95.4, 125.6,  23.0, -35.0, NULL
oTGF090828147 ,  273123112.206950, 2009-08-28, 03:31:50.206950,252.8422, +22.7884, 1, 253.5263, +23.8061,  +0.227,  132.7, 302.7, 129.0, 116.4, +60.4, NULL
oTGF091130219 ,  281250934.965071, 2009-11-30, 05:15:32.965070,132.5956, -12.0941, 1, 130.6992, -11.2645,  -0.019,  226.2, 239.1, 112.9, 146.9, -22.6, NULL
oTGF091213876 ,  282430912.475400, 2009-12-13, 21:01:50.475400,140.6039, -15.8434, 1, 139.8219, -16.5611,  -0.072,  115.3, 144.7, 134.7, 357.0,  +0.5, NULL
oTGF091227540 ,  283611494.306531, 2009-12-27, 12:58:12.306530,182.4693,  -4.6222, 1, 181.6783,  -4.8044,  -0.021,   90.0,  19.3, 126.7,  78.0, +23.1, NULL
oTGF100110328 ,  284802754.496100, 2010-01-10, 07:52:32.496100,133.1257, -13.1605, 1, 132.8412, -14.2267,  -0.023,  121.9, 101.5, 118.4, 163.3, -10.3, NULL
oTGF100129593 ,  286467270.536350, 2010-01-29, 14:14:28.536350, 86.8582,  +5.1327, 1,  86.8499,  +7.6829,  +0.073,  282.0, 279.2, 103.9, 244.9, +46.3, NULL
oTGF100207843 ,  287266468.246500, 2010-02-07, 20:14:26.246500,107.6106,  -4.0413, 1, 106.3134,  -5.6346,  -0.049,  227.5, 305.3, 117.1,  11.6, -76.8, NULL
oTGF100207843 ,  287266468.246500, 2010-02-07, 20:14:26.246500,107.6106,  -4.0413, 2, 106.3698,  -5.6621,  -0.000,  226.0, 305.9, 116.7,  12.1, -77.5, NULL
oTGF100218518 ,  288188741.131850, 2010-02-18, 12:25:39.131850,139.1237,  -5.5739, 1, 140.5758,  -4.4615,  -0.014,  202.6, 287.2, 123.3, 321.3, +59.2, NULL
oTGF100223288 ,  288600866.608425, 2010-02-23, 06:54:24.608426,165.2540, -14.1703, 1, 164.0231, -14.5499,  +0.010,  139.3,  84.9, 128.6, 200.9, -16.3, NULL
oTGF100304844 ,  289426561.478586, 2010-03-04, 20:15:59.478586,295.1595,  +5.9588, 1, 292.8127,  +3.5614,  -0.093,  371.6,  88.9, 112.8, 212.6, -47.5, NULL
oTGF100304845 ,  289426584.843182, 2010-03-04, 20:16:22.843182,296.3980,  +6.5793, 1, 291.5046,  +4.4485,  -0.173,  591.2,  67.9, 117.7, 183.4, -61.5, NULL
oTGF100305806 ,  289509676.376700, 2010-03-05, 19:21:14.376700,124.0833,  -7.1872, 1, 122.1223,  -7.5303,  +0.025,  219.8,  82.8, 140.0, 134.1, +32.3, NULL
oTGF100331421 ,  291722736.399850, 2010-03-31, 10:05:34.399850,183.2594, -19.1857, 1, 185.0599, -19.6642,  +0.116,  196.4, 296.5, 139.5,  53.6, +74.9, NULL
oTGF100409543 ,  292510904.365786, 2010-04-09, 13:01:42.365786,278.0161,  +8.0552, 1, 277.7567,  +7.2247,  +0.056,   96.2, 234.4, 120.5,  78.5,  -9.9, NULL
oTGF100501559 ,  294413067.370087, 2010-05-01, 13:24:25.370088,118.6324,  +0.4018, 1, 119.1357,  -1.3969,  -0.054,  206.6,  66.7, 117.7, 265.9, -58.0, NULL
oTGF100513287 ,  295426415.235432, 2010-05-13, 06:53:33.235432, 90.9499, +15.5731, 1,  90.4553, +14.1563,  -0.052,  165.6, 159.2, 119.0, 248.4, +15.8, NULL
oTGF100606292b,  297500465.178250, 2010-06-06, 07:01:03.178250,283.6996,  +7.2148, 1, 280.8758,  +7.4424,  -0.138,  312.8, 283.2, 115.6, 155.3, -38.9, NULL
oTGF100606292b,  297500465.178250, 2010-06-06, 07:01:03.178250,283.6996,  +7.2148, 2, 280.7432,  +7.2459,  -0.169,  326.5, 283.8, 113.4, 157.6, -37.5, NULL
oTGF100616900 ,  298416958.401800, 2010-06-16, 21:35:56.401800,339.7588,  +8.7362, 1, 341.1135,  +8.4692,  -0.015,  152.0, 123.9, 155.2, 338.3, -26.2, NULL
oTGF100620481 ,  298726384.476875, 2010-06-20, 11:33:02.476874,108.0711,  +6.3469, 1, 106.7690,  +6.7073,  -0.046,  149.4, 315.6, 157.6, 154.3, +51.9, NULL
oTGF100713095 ,  300680205.380547, 2010-07-13, 02:16:43.380548, 96.4265,  -5.2022, 1,  94.5853,  -6.2364,  -1.685,  233.8, 194.9, 109.9, 200.1, +36.8, NULL
oTGF100713481 ,  300713544.671967, 2010-07-13, 11:32:22.671968,253.8701, +20.1295, 1, 256.2150, +18.1845,  +0.371,  327.4, 278.8, 113.9, 105.0, -57.2, NULL
oTGF100724221 ,  301641520.049523, 2010-07-24, 05:18:38.049524,262.7679, +20.5870, 1, 268.0245, +22.3413,  -0.750,  578.4, 297.9,  84.5,  32.8, +27.2, Approximately 490 km separation between WWLLN and ENTLN associations. ENTLN is simultaneous. 
oTGF100727854 ,  301955389.152559, 2010-07-27, 20:29:47.152560,285.8207, +19.6298, 1, 285.3389, +18.1418,  -0.041,  172.4, 126.0, 115.8,  16.0, -25.6, NULL
oTGF100728940 ,  302049181.869351, 2010-07-28, 22:32:59.869350, 23.7960,  -2.3317, 1,  21.6122,  -3.3003,  -0.074,  265.4,  23.8, 146.8, 311.5, +27.4, NULL
oTGF100801756 ,  302378915.194414, 2010-08-01, 18:08:33.194414,260.3076, +11.3982, 1, 262.1278, +13.2948,  -0.033,  288.5, 231.5, 135.9, 253.0, +66.0, NULL
oTGF100802897 ,  302477499.289047, 2010-08-02, 21:31:37.289046,279.8875, +25.1124, 1, 281.8378, +21.6365,  -0.010,  433.5, 192.4, 153.3,  62.3, -66.7, NULL
oTGF100802897 ,  302477499.289047, 2010-08-02, 21:31:37.289046,279.8875, +25.1124, 2, 281.6473, +21.7088,  -0.089,  417.6, 195.3, 154.2,  67.1, -64.5, NULL
oTGF100803822 ,  302557435.742350, 2010-08-03, 19:43:53.742350,281.5153, +25.7025, 1, 281.0644, +24.1190,  -0.050,  181.2, 229.4, 146.1,  83.7, -44.5, NULL
oTGF100805032 ,  302661928.802292, 2010-08-05, 00:45:26.802292,284.8918,  +3.0002, 1, 284.3276,  +7.8142,  -0.038,  536.0,   3.1, 156.1, 227.4, -43.0, NULL
oTGF100807804 ,  302901437.813567, 2010-08-07, 19:17:15.813566,278.2472, +24.8313, 1, 278.2145, +26.9280,  +0.014,  232.3, 210.5, 105.8,  42.1, -48.0, NULL
oTGF100811503 ,  303221097.648103, 2010-08-11, 12:04:55.648104,282.7855, +14.1311, 1, 284.6742,  +8.8908,  -0.014,  615.2, 127.7, 176.8, 295.5, -41.9, NULL
oTGF100812853 ,  303337659.756955, 2010-08-12, 20:27:37.756954,276.4578,  +8.8071, 1, 278.9678, +12.8489,  -0.023,  524.6, 220.0,  86.9,  36.2, -11.9, NULL
oTGF100816696 ,  303669719.395044, 2010-08-16, 16:41:57.395044,292.4100, +13.3431, 1, 293.6239, +11.9992,  -0.064,  198.7, 156.7, 135.4, 322.1, -50.0, NULL
oTGF100817338b,  303725203.488735, 2010-08-17, 08:06:41.488734,297.8896, +14.3475, 1, 298.8313, +13.6542,  -0.061,  127.4,  57.1, 140.1, 299.7, +16.7, NULL
oTGF100818615 ,  303835531.565276, 2010-08-18, 14:45:29.565276,287.6123, +19.8407, 1, 287.2023, +16.0581,  -0.221,  420.9, 222.2,  93.9, 255.8,  -5.8, NULL
