start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2024-06-27T14:23:08.792580,1.330473647562104e-06,-178.16894958149618,-10.88066487080154,0.792581,13,0.2000,55,28,1.964,0.0000,0.0141,0.385,3185,3
2024-07-13T19:06:04.633352,1.0487593022082956e-15,25.484628082863495,6.486077352829239,0.633352,28,1.1470,70,53,1.321,0.0000,0.0080,0.464,5274,3
2024-07-22T21:40:20.386240,7.883160896550764e-42,-75.47688208336994,8.501443577209125,0.386241,45,1.5260,101,33,3.061,0.0000,0.0109,0.400,3640,3
2024-08-08T17:01:41.653057,1.5059312617287855e-06,-68.0501014347063,28.34368338234017,0.653058,10,0.3140,189,36,5.250,0.0000,0.0133,0.400,3201,3
2024-08-14T20:38:18.442761,2.8472249152442753e-06,-93.55619827975596,16.090490801916342,0.442762,23,1.5640,77,30,2.567,0.0000,0.0079,0.478,4756,3
2024-08-25T06:58:48.553660,2.4196247890323068e-17,-92.1494763526579,11.387547061256557,0.553660,27,1.0950,109,30,3.633,0.0370,0.0091,0.407,4582,3
2024-09-07T15:20:27.299291,5.598067404281041e-12,24.837488018263244,0.35734432559921914,0.299292,24,1.6690,72,55,1.309,0.0000,0.0072,0.375,4974,3
2024-09-16T13:32:00.545332,2.736205019688459e-09,116.91689242688466,22.961946486230843,0.545333,25,1.3100,54,39,1.385,0.0000,0.0086,0.400,4601,3
2024-09-22T16:22:27.636195,2.2289055979965962e-18,-71.87690292061738,15.037418241087074,0.636196,27,1.1200,54,35,1.543,0.0000,0.0095,0.407,3258,3
2024-09-28T22:41:18.358779,8.249365149834247e-44,111.49744075683198,-4.180892164597811,0.358780,44,1.6110,77,34,2.265,0.0000,0.0178,0.432,2664,3
2024-10-05T19:49:26.369778,4.998838789665062e-11,120.40564107315883,4.683691007735229,0.369778,20,1.5380,66,30,2.200,0.0000,0.0117,0.350,3412,3
2024-10-14T15:49:57.925110,4.2077057523876996e-13,124.57082234244004,9.260478645685463,0.925110,21,1.0970,89,29,3.069,0.0000,0.0102,0.429,3524,3
2024-10-14T15:50:36.052275,3.763121538314175e-25,126.53232857002229,10.352760366858195,0.052276,33,0.8910,56,30,1.867,0.0000,0.0125,0.394,3548,3
2024-10-21T08:38:57.108469,6.717957512443672e-09,-30.105319242662148,9.079032720835688,0.108470,22,0.8190,57,33,1.742,0.0000,0.0149,0.500,2714,3
2024-11-02T07:59:35.226332,8.205252730874885e-37,106.14535282469758,9.181483490075433,0.226332,41,1.6720,65,37,1.757,0.0000,0.0144,0.366,3085,3
2024-11-13T19:46:07.605843,1.682794762752224e-10,18.08830995167973,-5.023209998201547,0.605843,22,1.0370,71,32,2.219,0.0000,0.0141,0.455,3236,3
2024-11-21T20:08:56.024679,1.0999387455008596e-07,-68.23523384554346,7.249952337818209,0.024679,25,1.3890,53,31,1.710,0.0000,0.0112,0.440,3218,3
2024-12-02T05:27:50.194867,2.42434994440361e-13,119.25224727612144,-15.406415824880868,0.194867,26,1.8510,52,34,1.544,0.0000,0.0118,0.385,3302,3
2024-12-02T05:28:26.244569,6.6572051228959724e-21,121.20156376361156,-16.338536133271944,0.244570,31,1.6930,91,34,2.676,0.0323,0.0095,0.355,3352,3
2024-12-02T05:31:34.410997,9.959681994714019e-30,131.71191808356326,-20.82683444994502,0.410997,35,1.4280,84,33,2.545,0.0000,0.0098,0.457,3736,3
2024-12-16T20:19:48.240725,2.578970972942317e-15,127.31613526702436,-3.956237909105989,0.240726,27,1.1020,80,31,2.581,0.0000,0.0121,0.444,3592,3
2024-12-29T14:03:34.360275,1.5081299198996187e-10,140.46973521323326,-10.2740200149703,0.360275,22,0.6600,74,33,2.242,0.0000,0.0104,0.455,3166,3
2025-01-04T18:48:36.785329,6.55901047449243e-11,17.71476939663839,-6.946886031804728,0.785330,22,1.7970,76,30,2.550,0.0000,0.0180,0.364,2748,3
2025-01-10T21:07:35.655216,3.688862211410257e-07,111.27755984537302,2.9673962458257233,0.655217,16,0.8300,42,30,1.400,0.0000,0.0132,0.500,2959,3
2025-01-25T01:36:47.911985,2.6654248731183395e-36,138.4595927171099,-12.360004869751853,0.911985,38,0.4370,65,33,1.970,0.0000,0.0111,0.474,2875,3
2025-02-11T17:17:02.369998,5.774632318104617e-06,140.60736977472018,-15.100122900725896,0.369998,22,1.0280,82,31,2.661,0.0000,0.0105,0.500,3138,3
2025-02-20T11:22:57.690838,6.201284646518791e-24,146.59215936958486,-5.638264202886361,0.690839,30,1.4270,59,33,1.788,0.0000,0.0094,0.400,3368,3
2025-03-04T12:51:06.940046,2.1573194182111385e-08,49.972115699192315,-12.533446572216894,0.940046,18,0.8460,50,31,1.629,0.0000,0.0150,0.444,1967,3
2025-03-13T12:28:29.918237,4.304926324239431e-11,129.3861018676151,-9.388086190302792,0.918237,20,1.6370,43,28,1.554,0.0000,0.0185,0.400,1943,3
2025-03-23T06:46:42.817714,3.82438929112648e-48,121.6696443484341,-19.42899860152491,0.817714,49,0.6870,33,31,1.065,0.0000,0.0176,0.367,2187,3
2025-03-30T23:08:31.588075,1.0751777346886112e-37,-163.05376726225344,-12.060243061804483,0.588076,31,1.1600,73,29,2.517,0.0000,0.0161,0.355,2179,3
2025-04-09T16:50:33.477477,3.250307382064828e-07,64.51139447856342,-0.8368703938462274,0.477477,25,1.1870,48,29,1.655,0.0000,0.0094,0.440,3558,3
2025-04-26T04:43:40.312518,3.155303625375113e-42,101.57217273664124,12.237196786576014,0.312518,47,0.9120,62,36,1.722,0.0000,0.0098,0.383,3362,3
2025-05-03T04:12:50.475845,6.900580191607637e-43,-82.14571126191471,9.019466137583615,0.475845,47,1.2750,110,30,3.667,0.0213,0.0097,0.340,3953,3
2025-05-08T18:16:20.045323,2.033698835522874e-17,8.478524449276863,-0.68041827465574,0.045324,32,1.4880,86,47,1.840,0.0000,0.0075,0.406,5318,3
2025-05-08T18:17:16.199909,7.441510090331353e-10,11.277809822823322,1.0120556113897912,0.199909,23,1.4320,98,47,2.085,0.0000,0.0072,0.391,5236,3
2025-05-15T07:46:21.394497,3.627589487085747e-07,-78.0819266924488,9.473733233888913,0.394498,15,0.3320,64,29,2.207,0.0000,0.0106,0.467,3460,3
2025-05-20T11:31:41.509965,5.0201209417722025e-14,30.487421246343448,2.8235501775281486,0.509966,29,1.1830,91,44,2.068,0.0000,0.0087,0.517,4937,3
2025-06-07T08:36:46.482742,1.8400682958263437e-07,121.91058318009613,-1.744457270254215,0.482742,21,0.8700,52,32,1.625,0.0000,0.0077,0.476,3949,3
2025-06-14T17:37:19.830918,2.3781506983652665e-12,121.26967390526184,6.292229129990574,0.830919,18,0.5160,78,30,2.600,0.0000,0.0099,0.444,3489,3
2025-06-24T18:39:20.376947,4.433729521679103e-28,83.00406365433409,26.173872151170315,0.376948,47,1.3530,85,38,2.237,0.0000,0.0073,0.404,4740,3
2025-07-04T08:16:27.082935,1.1969044062296342e-07,-157.68670434836997,29.024416514189895,0.082935,65,2.2200,41,33,1.242,0.0000,0.0051,0.585,5062,3
2025-07-04T08:16:27.300449,8.693951681806726e-11,-157.67224022910958,29.023813842554045,0.300449,69,2.3760,43,33,1.303,0.0000,0.0048,0.580,5067,3
