instrument,fa_lo,fa_hi,n_all,n_assoc,sum_prob,exposure_s
HXMT/HE,1.000000e-60,3.242216e-60,104,9,0.351638,231622088.3
HXMT/HE,3.242216e-60,1.051196e-59,6,0,0.002459,231622088.3
HXMT/HE,1.051196e-59,3.408205e-59,2,0,0.002709,231622088.3
HXMT/HE,3.408205e-59,1.105014e-58,3,0,0.014877,231622088.3
HXMT/HE,1.105014e-58,3.582693e-58,5,1,0.006560,231622088.3
HXMT/HE,3.582693e-58,1.161586e-57,4,1,0.017800,231622088.3
HXMT/HE,1.161586e-57,3.766114e-57,3,0,0.008704,231622088.3
HXMT/HE,3.766114e-57,1.221055e-56,3,0,0.022991,231622088.3
HXMT/HE,1.221055e-56,3.958925e-56,3,1,0.017175,231622088.3
HXMT/HE,3.958925e-56,1.283569e-55,2,0,0.015365,231622088.3
HXMT/HE,1.283569e-55,4.161607e-55,3,0,0.008771,231622088.3
HXMT/HE,4.161607e-55,1.349283e-54,0,0,0.000000,231622088.3
HXMT/HE,1.349283e-54,4.374666e-54,8,1,0.034333,231622088.3
HXMT/HE,4.374666e-54,1.418361e-53,5,1,0.017139,231622088.3
HXMT/HE,1.418361e-53,4.598633e-53,3,0,0.006425,231622088.3
HXMT/HE,4.598633e-53,1.490976e-52,7,2,0.013976,231622088.3
HXMT/HE,1.490976e-52,4.834066e-52,2,0,0.002259,231622088.3
HXMT/HE,4.834066e-52,1.567309e-51,2,0,0.006743,231622088.3
HXMT/HE,1.567309e-51,5.081552e-51,6,1,0.027986,231622088.3
HXMT/HE,5.081552e-51,1.647549e-50,4,1,0.014041,231622088.3
HXMT/HE,1.647549e-50,5.341709e-50,12,1,0.020899,231622088.3
HXMT/HE,5.341709e-50,1.731897e-49,8,0,0.022564,231622088.3
HXMT/HE,1.731897e-49,5.615185e-49,2,0,0.004857,231622088.3
HXMT/HE,5.615185e-49,1.820564e-48,7,0,0.022248,231622088.3
HXMT/HE,1.820564e-48,5.902662e-48,7,0,0.021888,231622088.3
HXMT/HE,5.902662e-48,1.913770e-47,2,0,0.003608,231622088.3
HXMT/HE,1.913770e-47,6.204857e-47,10,0,0.045456,231622088.3
HXMT/HE,6.204857e-47,2.011748e-46,15,1,0.070402,231622088.3
HXMT/HE,2.011748e-46,6.522522e-46,10,4,0.051423,231622088.3
HXMT/HE,6.522522e-46,2.114743e-45,5,1,0.019053,231622088.3
HXMT/HE,2.114743e-45,6.856452e-45,7,0,0.013750,231622088.3
HXMT/HE,6.856452e-45,2.223010e-44,11,1,0.054119,231622088.3
HXMT/HE,2.223010e-44,7.207477e-44,12,3,0.057470,231622088.3
HXMT/HE,7.207477e-44,2.336819e-43,14,1,0.026828,231622088.3
HXMT/HE,2.336819e-43,7.576473e-43,10,1,0.024327,231622088.3
HXMT/HE,7.576473e-43,2.456456e-42,12,0,0.038938,231622088.3
HXMT/HE,2.456456e-42,7.964361e-42,11,0,0.038842,231622088.3
HXMT/HE,7.964361e-42,2.582218e-41,6,1,0.008118,231622088.3
HXMT/HE,2.582218e-41,8.372107e-41,5,1,0.022139,231622088.3
HXMT/HE,8.372107e-41,2.714418e-40,12,4,0.058004,231622088.3
HXMT/HE,2.714418e-40,8.800728e-40,11,3,0.024721,231622088.3
HXMT/HE,8.800728e-40,2.853386e-39,9,0,0.019026,231622088.3
HXMT/HE,2.853386e-39,9.251293e-39,7,1,0.025118,231622088.3
HXMT/HE,9.251293e-39,2.999469e-38,20,3,0.079014,231622088.3
HXMT/HE,2.999469e-38,9.724925e-38,26,6,0.054867,231622088.3
HXMT/HE,9.724925e-38,3.153030e-37,10,0,0.026455,231622088.3
HXMT/HE,3.153030e-37,1.022281e-36,12,3,0.042175,231622088.3
HXMT/HE,1.022281e-36,3.314454e-36,10,2,0.031837,231622088.3
HXMT/HE,3.314454e-36,1.074618e-35,14,0,0.031559,231622088.3
HXMT/HE,1.074618e-35,3.484142e-35,16,3,0.034779,231622088.3
HXMT/HE,3.484142e-35,1.129634e-34,19,3,0.079407,231622088.3
HXMT/HE,1.129634e-34,3.662517e-34,17,1,0.059765,231622088.3
HXMT/HE,3.662517e-34,1.187467e-33,19,1,0.103267,231622088.3
HXMT/HE,1.187467e-33,3.850025e-33,18,5,0.053892,231622088.3
HXMT/HE,3.850025e-33,1.248261e-32,35,6,0.087753,231622088.3
HXMT/HE,1.248261e-32,4.047132e-32,19,4,0.042988,231622088.3
HXMT/HE,4.047132e-32,1.312167e-31,16,3,0.056734,231622088.3
HXMT/HE,1.312167e-31,4.254330e-31,27,8,0.098293,231622088.3
HXMT/HE,4.254330e-31,1.379346e-30,26,7,0.071845,231622088.3
HXMT/HE,1.379346e-30,4.472136e-30,27,4,0.112426,231622088.3
HXMT/HE,4.472136e-30,1.449963e-29,23,2,0.068570,231622088.3
HXMT/HE,1.449963e-29,4.701093e-29,32,3,0.097250,231622088.3
HXMT/HE,4.701093e-29,1.524196e-28,36,10,0.095258,231622088.3
HXMT/HE,1.524196e-28,4.941772e-28,25,5,0.096965,231622088.3
HXMT/HE,4.941772e-28,1.602229e-27,26,4,0.053540,231622088.3
HXMT/HE,1.602229e-27,5.194772e-27,38,3,0.069460,231622088.3
HXMT/HE,5.194772e-27,1.684257e-26,29,5,0.091902,231622088.3
HXMT/HE,1.684257e-26,5.460725e-26,32,6,0.081772,231622088.3
HXMT/HE,5.460725e-26,1.770485e-25,36,10,0.090749,231622088.3
HXMT/HE,1.770485e-25,5.740294e-25,43,6,0.090528,231622088.3
HXMT/HE,5.740294e-25,1.861127e-24,26,7,0.044899,231622088.3
HXMT/HE,1.861127e-24,6.034176e-24,44,12,0.122372,231622088.3
HXMT/HE,6.034176e-24,1.956410e-23,43,9,0.132445,231622088.3
HXMT/HE,1.956410e-23,6.343104e-23,48,17,0.175759,231622088.3
HXMT/HE,6.343104e-23,2.056571e-22,47,6,0.134572,231622088.3
HXMT/HE,2.056571e-22,6.667848e-22,46,15,0.133824,231622088.3
HXMT/HE,6.667848e-22,2.161860e-21,57,15,0.172385,231622088.3
HXMT/HE,2.161860e-21,7.009217e-21,52,12,0.182490,231622088.3
HXMT/HE,7.009217e-21,2.272539e-20,60,17,0.119556,231622088.3
HXMT/HE,2.272539e-20,7.368063e-20,71,25,0.176446,231622088.3
HXMT/HE,7.368063e-20,2.388885e-19,54,16,0.132338,231622088.3
HXMT/HE,2.388885e-19,7.745281e-19,66,25,0.212582,231622088.3
HXMT/HE,7.745281e-19,2.511187e-18,61,13,0.147668,231622088.3
HXMT/HE,2.511187e-18,8.141811e-18,75,21,0.232675,231622088.3
HXMT/HE,8.141811e-18,2.639751e-17,61,18,0.156894,231622088.3
HXMT/HE,2.639751e-17,8.558641e-17,59,18,0.152660,231622088.3
HXMT/HE,8.558641e-17,2.774896e-16,88,28,0.233461,231622088.3
HXMT/HE,2.774896e-16,8.996812e-16,67,21,0.181212,231622088.3
HXMT/HE,8.996812e-16,2.916961e-15,91,25,0.245932,231622088.3
HXMT/HE,2.916961e-15,9.457416e-15,88,28,0.230048,231622088.3
HXMT/HE,9.457416e-15,3.066298e-14,91,23,0.242015,231622088.3
HXMT/HE,3.066298e-14,9.941601e-14,97,30,0.281162,231622088.3
HXMT/HE,9.941601e-14,3.223282e-13,78,23,0.229259,231622088.3
HXMT/HE,3.223282e-13,1.045057e-12,83,27,0.205057,231622088.3
