channel,e_min,e_max
0,5.0000,5.7594
1,5.7594,6.5753
2,6.5753,7.4482
3,7.4482,8.3784
4,8.3784,9.3663
5,9.3663,10.4124
6,10.4124,11.5170
7,11.5170,12.6806
8,12.6806,13.9037
9,13.9037,15.1866
10,15.1866,16.5299
11,16.5299,17.9340
12,17.9340,19.3996
13,19.3996,20.9270
14,20.9270,22.5168
15,22.5168,24.1696
16,24.1696,25.8860
17,25.8860,27.6665
18,27.6665,29.5119
19,29.5119,31.4226
20,31.4226,33.3995
21,33.3995,35.4431
22,35.4431,37.5541
23,37.5541,39.7334
24,39.7334,41.9816
25,41.9816,44.2995
26,44.2995,46.6878
27,46.6878,49.1475
28,49.1475,51.6793
29,51.6793,54.2841
30,54.2841,56.9628
31,56.9628,59.7162
32,59.7162,62.5453
33,62.5453,65.4512
34,65.4512,68.4346
35,68.4346,71.4967
36,71.4967,74.6386
37,74.6386,77.8611
38,77.8611,81.1655
39,81.1655,84.5528
40,84.5528,88.0243
41,88.0243,91.5809
42,91.5809,95.2241
43,95.2241,98.9549
44,98.9549,102.7746
45,102.7746,106.6846
46,106.6846,110.6861
47,110.6861,114.7805
48,114.7805,118.9691
49,118.9691,123.2534
50,123.2534,127.6348
51,127.6348,132.1148
52,132.1148,136.6949
53,136.6949,141.3765
54,141.3765,146.1614
55,146.1614,151.0511
56,151.0511,156.0472
57,156.0472,161.1514
58,161.1514,166.3655
59,166.3655,171.6911
60,171.6911,177.1302
61,177.1302,182.6844
62,182.6844,188.3557
63,188.3557,194.1459
64,194.1459,200.0571
65,200.0571,206.0912
66,206.0912,212.2501
67,212.2501,218.5361
68,218.5361,224.9512
69,224.9512,231.4975
70,231.4975,238.1773
71,238.1773,244.9928
72,244.9928,251.9462
73,251.9462,259.0400
74,259.0400,266.2764
75,266.2764,273.6580
76,273.6580,281.1872
77,281.1872,288.8665
78,288.8665,296.6985
79,296.6985,304.6859
80,304.6859,312.8312
81,312.8312,321.1373
82,321.1373,329.6070
83,329.6070,338.2430
84,338.2430,347.0483
85,347.0483,356.0258
86,356.0258,365.1786
87,365.1786,374.5096
88,374.5096,384.0222
89,384.0222,393.7193
90,393.7193,403.6044
91,403.6044,413.6807
92,413.6807,423.9515
93,423.9515,434.4204
94,434.4204,445.0908
95,445.0908,455.9664
96,455.9664,467.0508
97,467.0508,478.3476
98,478.3476,489.8607
99,489.8607,501.5940
100,501.5940,513.5514
101,513.5514,525.7369
102,525.7369,538.1545
103,538.1545,550.8086
104,550.8086,564.8103
105,564.8103,579.0389
106,579.0389,593.4970
107,593.4970,608.1871
108,608.1871,623.1118
109,623.1118,638.2738
110,638.2738,653.6757
111,653.6757,669.3204
112,669.3204,685.2105
113,685.2105,701.3490
114,701.3490,717.7386
115,717.7386,734.3823
116,734.3823,751.2830
117,751.2830,768.4437
118,768.4437,785.8676
119,785.8676,803.5576
120,803.5576,821.5169
121,821.5169,839.7487
122,839.7487,858.2563
123,858.2563,877.0429
124,877.0429,896.1119
125,896.1119,915.4666
126,915.4666,935.1105
127,935.1105,955.0471
128,955.0471,975.2798
129,975.2798,995.8124
130,995.8124,1016.6484
131,1016.6484,1037.7916
132,1037.7916,1059.2457
133,1059.2457,1081.0144
134,1081.0144,1103.1018
135,1103.1018,1125.5116
136,1125.5116,1148.2479
137,1148.2479,1171.3148
138,1171.3148,1194.7162
139,1194.7162,1218.4564
140,1218.4564,1242.5396
141,1242.5396,1266.9698
142,1266.9698,1291.7518
143,1291.7518,1316.8898
144,1316.8898,1342.3882
145,1342.3882,1368.2516
146,1368.2516,1394.4845
147,1394.4845,1421.0916
148,1421.0916,1448.0776
149,1448.0776,1475.4474
150,1475.4474,1503.2058
151,1503.2058,1531.3577
152,1531.3577,1559.9081
153,1559.9081,1588.8619
154,1588.8619,1618.2246
155,1618.2246,1648.0012
156,1648.0012,1678.1970
