channel,assoc_core,nonassoc_core,bkg,hour_all
0,11,64,21920,0
1,7,36,22302,0
2,20,63,33807,0
3,25,96,49341,0
4,17,147,73519,0
5,18,252,96012,0
6,8,295,116941,0
7,13,379,144919,0
8,12,437,180806,0
9,15,491,203558,589
10,9,605,237235,1081181
11,13,655,247317,7185644
12,14,680,243856,11883602
13,17,619,237435,11885725
14,11,634,234141,11082162
15,22,680,233866,11447078
16,17,611,236325,11721966
17,22,635,254712,12243026
18,31,558,245697,11804042
19,22,533,234944,9894802
20,19,460,196211,7740101
21,19,405,162886,6090525
22,19,434,140905,5203371
23,22,341,121462,4793111
24,24,367,112969,4559629
25,17,377,107968,4613170
26,21,380,109319,4734615
27,21,349,109322,5011026
28,40,369,111563,5062181
29,19,406,113200,5081078
30,27,425,117789,4754328
31,24,375,114463,4488733
32,29,428,116590,4142045
33,29,367,114421,3936733
34,26,377,106034,3653797
35,28,354,97492,3389967
36,23,395,88863,3177349
37,19,321,73818,2708942
38,21,286,60648,2392940
39,18,287,56804,2295655
40,16,274,53222,2194543
41,22,264,50359,2116064
42,28,278,49425,2015179
43,27,266,47361,1931971
44,30,259,45507,1849185
45,23,273,43977,1785532
46,18,269,42745,1735902
47,18,245,40264,1675157
48,13,257,39086,1620999
49,16,234,38201,1565870
50,16,234,37206,1518158
51,18,265,36659,1472005
52,22,228,35936,1455191
53,17,257,36228,1465398
54,21,222,35427,1466740
55,27,247,35471,1479993
56,12,211,35561,1475755
57,11,220,35197,1507982
58,17,219,33811,1638539
59,19,205,35204,1887126
60,20,197,37682,2150260
61,17,191,41927,2319132
62,14,192,45768,2376471
63,20,187,46909,2319758
64,13,180,45780,2177531
65,15,201,42120,1953506
66,17,201,39221,1739648
67,9,181,36971,1561650
68,12,170,35138,1456939
69,12,187,32927,1363494
70,14,176,31256,1258981
71,12,165,28482,1179825
72,14,174,27335,1124639
73,19,156,25845,1109487
74,11,132,25112,1106544
75,10,147,24529,1080063
76,8,146,24768,1040930
77,8,137,24468,991314
78,13,147,23861,927449
79,16,128,22150,853834
80,9,121,20270,776653
81,14,120,18423,703736
82,3,115,17408,643392
83,6,127,16396,597447
84,10,101,15657,558666
85,9,110,14648,526654
86,12,91,13718,501426
87,7,109,13202,489879
88,12,97,12590,477154
89,8,89,12247,469820
90,9,88,12198,462678
91,7,88,12046,458447
92,7,82,11827,454073
93,1,103,12079,462673
94,9,85,11670,485845
95,4,89,11427,534494
96,3,77,12087,600829
97,9,97,12750,650928
98,9,84,13605,672736
99,8,91,14427,669539
100,3,103,14672,645664
101,10,71,14179,617088
102,8,76,13819,585791
103,15,85,13162,551872
104,7,93,13644,552300
105,5,85,12346,455647
106,4,84,12376,455064
107,8,89,12340,491256
108,5,75,11829,421126
109,2,75,11287,448264
