start,span_ms,best_ms,n_core,bkg_per_ms,n_sig_bins,run_ms,excess,t50_ms,t90_ms,excess_in_1ms,frac_in_best_1ms
2024-09-27T00:31:30.934,2.939,0.9689927101135254,81.0,2.900,10,0.5,23.6,0.188,0.432,38.1,1.618
2024-08-22T01:15:42.522,1.879,0.10699033737182616,32.0,4.320,1,0.1,17.6,0.043,0.082,22.7,1.291
2024-12-17T04:58:48.746,1.824,0.35899877548217773,49.0,2.060,4,0.4,37.2,0.170,0.292,38.9,1.047
2024-12-24T17:37:50.392,1.805,0.14200806617736816,31.0,1.840,2,0.2,19.6,0.057,0.123,22.2,1.129
2024-07-20T08:45:36.493,1.742,0.24899840354919434,29.0,2.400,2,0.2,19.5,0.094,0.134,23.6,1.209
2024-07-23T22:45:06.286,1.663,0.10699033737182616,27.0,2.200,2,0.2,20.6,0.043,0.099,21.8,1.060
2024-08-14T13:39:31.620,1.634,0.16099214553833008,39.0,2.980,2,0.2,22.4,0.058,0.141,27.0,1.206
2024-10-01T21:53:15.470,1.625,0.08100271224975586,25.0,1.940,2,0.2,10.6,0.034,0.080,15.1,1.419
2024-08-28T00:19:54.345,1.621,0.2300143241882324,25.0,2.580,1,0.1,11.7,0.037,0.077,18.4,1.569
2024-09-28T22:41:18.358,1.611,0.2409815788269043,44.0,1.820,3,0.3,34.5,0.068,0.197,36.2,1.050
2024-06-27T14:23:08.792,0.2,0.1990199089050293,13.0,1.980,1,0.1,8.8,0.031,0.077,11.0,1.252
2024-09-28T21:41:03.173,0.119,0.04598498344421387,13.0,2.720,1,0.1,8.7,0.025,0.042,10.3,1.178
2024-09-04T13:05:35.438,0.07,0.07000565528869629,11.0,3.540,1,0.1,11.6,0.024,0.056,8.5,0.726
2024-07-12T21:09:20.065,0.054,0.05301833152770996,13.0,2.740,1,0.1,12.7,0.028,0.048,10.3,0.806
