hour,band,n_events,ms_bins_ge5,frac_events_in_bursty_bins
2024/06/29 06,ch10-14,2003285,8490,0.02228
2024/06/29 06,ch15-19,2376393,10775,0.02382
2024/06/29 06,ch20-29,2344679,10765,0.02415
2024/06/29 06,ch30-49,2439218,11488,0.02476
2024/06/29 06,ch50-255,3576482,29108,0.04282
2024/06/30 10,ch10-14,2993300,6859,0.01189
2024/06/30 10,ch15-19,3110649,7328,0.01218
2024/06/30 10,ch20-29,2969958,6000,0.01043
2024/06/30 10,ch30-49,2812969,5038,0.00925
2024/06/30 10,ch50-255,3484475,11748,0.01751
2024/07/01 06,ch10-14,2198372,2276,0.00532
2024/07/01 06,ch15-19,2701152,4128,0.00786
2024/07/01 06,ch20-29,2536255,2820,0.00570
2024/07/01 06,ch30-49,2498382,2603,0.00534
2024/07/01 06,ch50-255,4057190,20492,0.02633
2024/07/05 00,ch10-14,2074601,12118,0.03106
2024/07/05 00,ch15-19,2412242,17176,0.03772
2024/07/05 00,ch20-29,1992390,10388,0.02766
2024/07/05 00,ch30-49,2114119,11193,0.02798
2024/07/05 00,ch50-255,4915043,199785,0.22844
2024/07/12 04,ch10-14,2837655,4936,0.00899
2024/07/12 04,ch15-19,3170852,7359,0.01199
2024/07/12 04,ch20-29,2862336,4721,0.00850
2024/07/12 04,ch30-49,2659639,3445,0.00666
2024/07/12 04,ch50-255,3688320,13734,0.01935
2024/07/12 06,ch10-14,2527702,3510,0.00716
2024/07/12 06,ch15-19,2907640,5299,0.00938
2024/07/12 06,ch20-29,2771887,4445,0.00827
2024/07/12 06,ch30-49,2690511,4301,0.00825
2024/07/12 06,ch50-255,3656631,14585,0.02076
2024/07/12 21,ch10-14,1712086,2298,0.00690
2024/07/12 21,ch15-19,2292045,7262,0.01641
2024/07/12 21,ch20-29,2023235,4932,0.01263
2024/07/12 21,ch30-49,2125913,6710,0.01648
2024/07/12 21,ch50-255,4158928,75655,0.09767
2024/07/13 09,ch10-14,2736513,6034,0.01140
2024/07/13 09,ch15-19,2996816,7143,0.01237
2024/07/13 09,ch20-29,2941341,6617,0.01164
2024/07/13 09,ch30-49,2878670,6187,0.01114
2024/07/13 09,ch50-255,3481463,11701,0.01744
2024/07/13 19,ch10-14,2577593,3181,0.00633
2024/07/13 19,ch15-19,3504300,10825,0.01600
2024/07/13 19,ch20-29,2854279,4340,0.00781
2024/07/13 19,ch30-49,3064788,6134,0.01030
2024/07/13 19,ch50-255,7880191,269791,0.19014
2024/07/14 14,ch10-14,2014794,3027,0.00781
2024/07/14 14,ch15-19,2494849,6338,0.01314
2024/07/14 14,ch20-29,2193407,3876,0.00909
2024/07/14 14,ch30-49,2340294,6501,0.01452
2024/07/14 14,ch50-255,4831806,99980,0.11222
2024/07/14 18,ch10-14,2446803,4085,0.00861
2024/07/14 18,ch15-19,3123336,10928,0.01813
2024/07/14 18,ch20-29,2633255,5691,0.01118
2024/07/14 18,ch30-49,2641087,6382,0.01254
2024/07/14 18,ch50-255,5499446,102798,0.10041
2024/07/15 05,ch10-14,2099194,1482,0.00361
2024/07/15 05,ch15-19,3217041,8311,0.01336
2024/07/15 05,ch20-29,3113193,7688,0.01280
2024/07/15 05,ch30-49,3059555,8256,0.01410
2024/07/15 05,ch50-255,3808027,17121,0.02367
2024/07/16 11,ch10-14,901946,333,0.00189
2024/07/16 11,ch15-19,1437813,2142,0.00766
2024/07/16 11,ch20-29,1426217,2057,0.00741
2024/07/16 11,ch30-49,1516486,2716,0.00923
2024/07/16 11,ch50-255,2448509,22297,0.04811
2024/07/20 05,ch10-14,2522838,3372,0.00687
2024/07/20 05,ch15-19,3627478,15000,0.02158
2024/07/20 05,ch20-29,3503839,14463,0.02159
2024/07/20 05,ch30-49,3550252,17680,0.02617
2024/07/20 05,ch50-255,4080554,22329,0.02858
2024/07/20 08,ch10-14,2369227,4131,0.00900
2024/07/20 08,ch15-19,3271120,14931,0.02379
2024/07/20 08,ch20-29,3144758,13379,0.02219
2024/07/20 08,ch30-49,3155798,15639,0.02593
2024/07/20 08,ch50-255,3233756,13392,0.02157
2024/07/20 11,ch10-14,2026737,1521,0.00384
2024/07/20 11,ch15-19,3163891,9624,0.01576
2024/07/20 11,ch20-29,2952790,7209,0.01258
2024/07/20 11,ch30-49,3024856,8302,0.01423
2024/07/20 11,ch50-255,5492688,94410,0.09254
2024/07/22 13,ch10-14,878824,310,0.00180
2024/07/22 13,ch15-19,1902463,4643,0.01266
2024/07/22 13,ch20-29,1819496,4770,0.01374
2024/07/22 13,ch30-49,2149519,11512,0.02888
2024/07/22 13,ch50-255,5513895,226465,0.23028
2024/07/22 21,ch10-14,1721652,854,0.00253
2024/07/22 21,ch15-19,2965616,6158,0.01070
2024/07/22 21,ch20-29,2888004,5147,0.00917
2024/07/22 21,ch30-49,3032066,6000,0.01019
2024/07/22 21,ch50-255,4838947,42060,0.04574
2024/07/23 22,ch10-14,2433402,2626,0.00555
2024/07/23 22,ch15-19,3583131,12177,0.01760
2024/07/23 22,ch20-29,3226294,7702,0.01233
2024/07/23 22,ch30-49,3019529,5873,0.01003
2024/07/23 22,ch50-255,4275404,25447,0.03117
2024/07/24 06,ch10-14,2041790,2944,0.00742
2024/07/24 06,ch15-19,2852087,11314,0.02063
2024/07/24 06,ch20-29,2691194,9193,0.01774
2024/07/24 06,ch30-49,2657240,9377,0.01834
2024/07/24 06,ch50-255,2817422,10687,0.01973
