start,fa,count,mean,dur_us,lon,lat,n_win,n_nai,n_b0,n_b1,n_det,n_times,max_mult,pha_med,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb,b0,b1
00:00:01.306729912Z,1.528e+01,10,0.121,6.08,90.87,22.35,11,8,2,1,10,2,10,102,0,1,0,1,0,1,1,1,0,1,1,1,2,1
00:00:04.688242077Z,5.064e-02,13,0.761,38.03,91.08,22.40,14,9,4,1,10,5,10,58,0,2,1,1,0,1,0,1,1,0,1,1,4,1
00:00:05.311529994Z,1.307e+01,8,0.160,7.99,91.12,22.41,8,5,1,2,7,2,7,48,0,0,0,0,1,1,0,1,1,1,0,0,1,2
00:00:08.063581943Z,1.478e+01,8,0.163,8.11,91.29,22.45,8,5,1,2,7,2,7,74,0,1,1,0,0,1,0,0,0,1,1,0,1,2
00:00:08.912096023Z,1.620e+01,8,0.120,5.96,91.35,22.46,9,6,2,1,8,2,8,92,0,1,1,0,0,0,0,0,1,1,1,1,2,1
00:00:13.550930023Z,1.398e+01,9,0.161,7.99,91.64,22.52,9,6,1,2,8,2,8,61,0,1,1,0,0,1,1,1,1,0,0,0,1,2
00:00:14.681066036Z,3.709e-01,13,0.958,48.04,91.71,22.54,13,8,4,1,10,5,9,37,1,1,1,1,0,1,1,1,1,0,0,0,4,1
00:00:17.097105979Z,1.215e+01,8,0.162,7.99,91.86,22.57,8,5,1,2,7,3,6,57,1,0,0,1,1,0,0,0,1,0,0,1,1,2
00:00:24.912691950Z,4.589e-01,8,0.082,4.05,92.35,22.68,8,5,1,2,7,2,7,64,0,0,0,1,0,1,1,1,0,0,1,0,1,2
00:00:24.972283959Z,4.932e-01,10,0.082,4.05,92.35,22.68,10,8,0,2,8,2,5,97,0,0,0,1,0,1,1,1,1,1,0,2,0,2
00:00:26.257156014Z,5.256e-01,10,0.082,4.05,92.43,22.69,10,7,1,2,9,2,9,60,0,1,0,1,0,1,1,0,1,0,1,1,1,2
00:00:32.454119920Z,3.044e+00,9,0.123,6.08,92.82,22.78,9,5,2,2,7,2,7,77,1,0,0,0,0,0,0,0,1,1,1,1,2,2
00:00:33.632019996Z,1.722e+01,8,0.123,6.08,92.89,22.79,8,6,2,0,7,2,7,76,1,1,1,1,1,1,0,0,0,0,0,0,2,0
00:00:36.124022006Z,1.506e+01,12,0.118,5.96,93.05,22.82,12,10,2,0,11,2,11,118,1,1,1,1,1,1,1,0,0,1,1,1,2,0
00:00:40.275400042Z,3.879e-01,8,0.082,4.05,93.31,22.88,8,5,1,2,6,2,6,73,0,1,0,0,0,0,1,0,0,0,1,2,1,2
00:00:43.348339915Z,1.864e+01,12,0.842,42.08,93.50,22.92,12,8,1,3,9,4,9,76,0,0,2,1,0,1,1,1,1,0,1,0,1,3
00:00:43.787394046Z,3.289e-03,11,0.243,12.04,93.53,22.92,11,7,1,3,9,3,9,84,0,1,0,0,0,1,1,1,1,1,0,1,1,3
00:00:45.573771953Z,1.289e+01,10,0.769,38.03,93.64,22.95,10,6,1,3,8,5,6,54,1,1,1,1,0,0,0,0,1,0,0,1,1,3
00:00:45.845421910Z,1.055e+01,8,0.160,7.99,93.66,22.95,8,6,0,2,7,2,7,62,0,1,0,0,0,0,1,1,1,1,1,0,0,2
00:00:48.896713972Z,1.401e+01,8,0.164,7.99,93.85,22.99,8,6,0,2,7,2,6,72,0,0,0,0,0,0,1,1,1,1,1,1,0,2
00:00:50.483117938Z,2.808e-01,8,0.081,4.05,93.95,23.01,8,5,1,2,7,2,7,60,0,0,0,1,0,0,1,1,1,0,1,0,1,2
00:00:55.946587920Z,2.886e+00,8,0.122,6.08,94.29,23.08,8,5,1,2,7,3,6,48,0,1,0,0,0,1,1,1,0,1,0,0,1,2
00:00:58.123733997Z,1.287e+01,8,0.123,6.08,94.43,23.11,8,5,2,1,7,2,7,36,1,1,1,0,1,0,0,0,0,1,0,0,2,1
00:01:01.600290060Z,8.241e+00,12,1.369,67.95,94.65,23.15,12,8,4,0,6,6,5,39,1,2,2,0,0,0,0,0,0,0,1,2,4,0
00:01:02.260732054Z,4.293e-01,8,0.079,3.93,94.69,23.16,8,6,0,2,7,3,6,76,1,1,1,0,0,0,0,0,0,1,1,1,0,2
00:01:14.529250025Z,3.176e+00,11,0.442,21.93,95.47,23.31,11,7,3,1,9,3,7,67,0,0,1,1,1,1,1,1,1,0,0,0,3,1
00:01:15.964525938Z,2.469e+00,9,0.402,20.03,95.56,23.33,9,5,1,3,7,4,6,61,1,1,1,0,0,0,0,0,0,1,0,1,1,3
00:01:17.269754052Z,1.081e+01,9,0.161,7.99,95.64,23.34,9,6,1,2,8,2,8,74,0,0,1,1,0,0,1,0,1,1,0,1,1,2
00:01:28.204390048Z,4.232e-01,8,0.081,4.05,96.33,23.47,8,5,1,2,7,2,7,78,1,0,1,0,0,0,0,0,1,1,0,1,1,2
00:01:29.904150009Z,1.435e+01,10,0.121,5.96,96.44,23.49,10,7,2,1,9,2,9,72,0,0,1,1,1,0,1,1,1,0,1,0,2,1
00:01:32.282108068Z,1.705e+01,9,0.121,5.96,96.59,23.52,9,7,2,0,8,2,8,82,0,1,0,1,0,1,1,1,1,0,0,1,2,0
00:01:34.126266002Z,1.166e+00,11,0.524,25.99,96.71,23.54,11,8,0,3,9,3,9,70,0,0,0,1,1,1,1,1,1,0,1,1,0,3
00:01:36.901315927Z,1.478e+01,8,0.164,8.11,96.88,23.57,8,5,1,2,7,2,7,84,0,0,0,0,1,1,1,0,1,1,0,0,1,2
00:01:38.680333971Z,3.192e+00,9,0.122,6.08,96.99,23.59,9,6,1,2,8,2,8,58,0,0,1,0,0,1,0,0,1,1,1,1,1,2
00:01:39.771900057Z,1.256e+01,8,0.120,5.96,97.06,23.60,8,5,2,1,7,2,7,69,0,0,0,1,1,1,0,1,1,0,0,0,2,1
