date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg
20170702,2017-07-02T12:49:45.563779979Z,2017-07-02T12:49:45.564057976Z,0.000277997,10,1.8152431900979135e-2,117.2635,23.8139,539922.6,lightning,1,2.9506848618965657e-3,1,18,4,0,18734,1366
20170704,2017-07-04T19:20:55.994011968Z,2017-07-04T19:20:55.994275987Z,0.000264019,15,1.280872403030205e-3,127.6041,24.5364,538306.6,lightning,1,5.737234652897303e-4,3,17,0,0,18503,1664
20170705,2017-07-05T19:18:47.774717986Z,2017-07-05T19:18:47.775187969Z,0.000469983,22,1.995355913034401e-2,143.2129,7.0603,538570.3,lightning,1,8.196049504139005e-4,3,25,0,0,18378,1161
20170707,2017-07-07T23:09:39.888121992Z,2017-07-07T23:09:39.888205975Z,0.000083983,10,3.267502910987426e-2,282.6503,20.5370,543190.5,lightning,1,2.378517121547414e-3,30,11,4,1,11971,1099
20170712,2017-07-12T00:15:14.207275986Z,2017-07-12T00:15:14.207845985Z,0.000569999,14,1.2606201418629897e-4,266.3935,35.6345,545485.5,lightning,1,9.865363412835011e-4,32,26,3,0,20014,2494
20170720,2017-07-20T18:40:06.844539970Z,2017-07-20T18:40:06.846021980Z,0.001482010,16,1.5317768971773633e-5,70.1589,-6.0498,537865.4,lightning,1,3.1980284320957298e-3,6,31,3,0,12271,2205
20170726,2017-07-26T01:42:00.511935979Z,2017-07-26T01:42:00.512029975Z,0.000093996,12,9.007517064502488e-5,266.2652,15.9393,541390.5,lightning,1,3.608177788705844e-3,8,14,1,0,15265,1374
20170727,2017-07-27T14:56:18.825103968Z,2017-07-27T14:56:18.825327992Z,0.000224024,14,5.426631897016533e-3,213.7964,-31.9062,547476.5,lightning,1,5.737928448487829e-4,8,17,0,0,16268,906
20170728,2017-07-28T18:43:04.812333971Z,2017-07-28T18:43:04.812503993Z,0.000170022,11,5.846961512016351e-1,319.9383,36.1984,548760.6,lightning,1,6.558248176378985e-4,9,14,1,1,17408,1617
20170812,2017-08-12T16:30:49.918719977Z,2017-08-12T16:30:49.918873965Z,0.000153988,12,2.5719000171408657e-1,283.0488,21.5163,547072.8,lightning,1,4.376929022211294e-4,5,14,2,0,16131,2033
20170814,2017-08-14T09:24:54.954089969Z,2017-08-14T09:24:54.955119967Z,0.001029998,29,7.613214774756996e-4,264.6780,31.7789,540394.5,lightning,1,1.3351001573641504e-2,22,43,5,1,22414,1487
20170815,2017-08-15T14:20:27.543361991Z,2017-08-15T14:20:27.543481975Z,0.000119984,14,5.6877084115689e-1,271.0270,35.9623,546567.4,lightning,1,3.114827301040898e-3,12,15,1,1,25826,3448
20170817,2017-08-17T07:27:27.218955993Z,2017-08-17T07:27:27.219356Z,0.000400007,19,1.4490260887841914e-5,300.2452,40.6839,542506.7,lightning,1,8.253957716580608e-3,5,25,0,0,25120,1875
20170817,2017-08-17T15:52:38.848047971Z,2017-08-17T15:52:38.848363965Z,0.000315994,14,1.8374917508679376e-3,284.6554,0.5960,546877.6,lightning,1,5.748937873944758e-4,7,17,1,0,13363,1156
20170820,2017-08-20T03:36:19.826835989Z,2017-08-20T03:36:19.826993972Z,0.000157983,15,6.021586448645682e-2,292.2610,16.9695,536620.7,lightning,1,2.2995737316613392e-3,7,15,2,0,15340,1911
20170823,2017-08-23T13:18:52.933179974Z,2017-08-23T13:18:52.933293968Z,0.000113994,13,5.273121970535751e-2,277.9973,7.1073,543350.1,lightning,1,6.393909277928039e-3,6,13,1,0,13559,1962
20170823,2017-08-23T13:20:21.841209977Z,2017-08-23T13:20:21.842401981Z,0.001192004,13,1.166295374070612e-4,281.7445,3.2903,544031.3,lightning,1,4.265763601344152e-3,5,28,5,3,13174,1795
20170824,2017-08-24T03:05:36.210260003Z,2017-08-24T03:05:36.210897982Z,0.000637979,17,9.332600068375218e-5,296.1005,31.5386,538703.2,lightning,1,2.4607472666174903e-3,11,25,7,3,20205,2232
20170828,2017-08-28T11:47:36.702279984Z,2017-08-28T11:47:36.702707976Z,0.000427992,15,7.124811950054843e-5,96.9614,0.3965,541900.6,lightning,1,4.917629702483403e-4,2,21,4,0,19141,2272
20170830,2017-08-30T13:11:52.854305982Z,2017-08-30T13:11:52.855611979Z,0.001305997,13,4.042368420181131e-5,84.2258,19.4105,540422.0,lightning,1,1.2218694697155971e-3,11,27,2,0,11799,819
20170901,2017-09-01T01:54:47.949541985Z,2017-09-01T01:54:47.950759977Z,0.001217992,32,4.599359126902562e-1,277.6006,37.8940,541667.2,lightning,1,5.49397223178428e-3,26,41,7,1,22158,3855
20170903,2017-09-03T23:11:33.168374001Z,2017-09-03T23:11:33.168648004Z,0.000274003,25,3.4282822886919007e-1,158.2474,-43.0791,558913.9,lightning,1,5.872189738546021e-3,15,25,2,0,32371,5271
20170904,2017-09-04T21:55:21.218097984Z,2017-09-04T21:55:21.218339979Z,0.000241995,11,1.8221346850144168e-1,272.0943,14.0563,543991.7,lightning,1,3.6913427997705105e-3,14,16,1,0,15880,2395
20170906,2017-09-06T19:04:47.958217978Z,2017-09-06T19:04:47.958983987Z,0.000766009,10,1.8341823458002855e-2,97.9892,8.4432,536509.7,lightning,1,2.7087503401360545e-3,8,25,3,1,14573,817
20170906,2017-09-06T21:42:33.452335983Z,2017-09-06T21:42:33.452805995Z,0.000470012,15,4.026460896044699e-2,281.1125,27.7851,544645.3,lightning,1,5.263394902057209e-3,11,23,0,0,20760,3247
20170912,2017-09-12T20:43:04.816931992Z,2017-09-12T20:43:04.817073971Z,0.000141979,12,6.124107887200574e-2,246.0757,19.9693,547033.8,lightning,1,3.279778214900418e-4,9,13,5,1,15264,4125
20170914,2017-09-14T05:02:12.842355966Z,2017-09-14T05:02:12.842527985Z,0.000172019,16,2.167685440885478e-5,246.2528,20.5484,538190.1,lightning,1,8.201221457257602e-4,11,17,1,0,17559,1703
20170914,2017-09-14T18:53:23.227587997Z,2017-09-14T18:53:23.227923989Z,0.000335992,14,7.217833717538243e-2,275.7816,29.7348,548172.3,lightning,1,5.739020047537087e-3,23,18,10,3,16547,10767
20170919,2017-09-19T13:11:20.974569976Z,2017-09-19T13:11:20.974713981Z,0.000144005,14,6.030551580041286e-1,301.7478,8.1226,545650.4,lightning,1,5.740233915252849e-4,3,14,0,0,15991,1126
20170920,2017-09-20T12:02:37.317287981Z,2017-09-20T12:02:37.317811995Z,0.000524014,18,7.327626631752676e-5,99.2493,21.4627,541809.1,lightning,1,4.659737210064749e-3,7,21,2,1,16729,1049
20170923,2017-09-23T22:47:54.461029976Z,2017-09-23T22:47:54.461867988Z,0.000838012,13,6.424480159744344e-3,292.5666,7.2951,540936.1,lightning,1,8.789441553970986e-3,12,24,2,1,12685,1782
20170924,2017-09-24T12:23:01.430283993Z,2017-09-24T12:23:01.430383980Z,0.000099987,12,9.662085349010191e-3,277.4063,4.1528,543139.5,lightning,1,3.2795397918203425e-4,10,13,1,1,14604,1569
20170926,2017-09-26T12:31:04.857333987Z,2017-09-26T12:31:04.858041971Z,0.000707984,17,2.7992044097729886e-4,10.7764,40.8549,550936.9,lightning,1,7.022544504548808e-3,16,26,2,1,17860,2018
20171003,2017-10-03T07:00:41.508233994Z,2017-10-03T07:00:41.508269995Z,0.000036001,9,7.038136674869929e-1,122.3076,-5.1332,545752.0,lightning,1,4.0980247520695025e-4,7,9,4,0,15830,875
20171005,2017-10-05T18:35:12.596075981Z,2017-10-05T18:35:12.596230Z,0.000154019,12,3.97712729788037e-1,106.9678,-0.1579,537218.6,lightning,1,1.2301625358577166e-3,5,14,0,0,16768,2155
20171007,2017-10-07T08:54:25.770691990Z,2017-10-07T08:54:25.770913988Z,0.000221998,12,3.26886849770247e-4,272.1234,25.2107,539893.2,lightning,1,4.592073936562577e-3,18,17,0,0,19842,3604
20171007,2017-10-07T18:25:13.803133994Z,2017-10-07T18:25:13.803237974Z,0.000103980,11,1.0007841070301568e-1,122.1074,21.8932,538626.5,lightning,1,2.2138228014097205e-3,2,12,0,0,18171,1433
20171008,2017-10-08T07:06:43.523419976Z,2017-10-08T07:06:43.524237990Z,0.000818014,18,8.1139201855107e-4,283.6102,18.3160,537795.9,lightning,1,1.5766846406032292e-3,7,28,0,0,16920,1314
20171016,2017-10-16T13:45:24.655935972Z,2017-10-16T13:45:24.656391978Z,0.000456006,12,7.696972380453194e-2,121.2757,10.5998,536145.3,lightning,1,6.1485579952462914e-3,5,21,6,1,16054,2179
20171019,2017-10-19T12:22:40.292689979Z,2017-10-19T12:22:40.292741984Z,0.000052005,10,1.2454048223438784e-1,284.0018,6.9156,543609.3,lightning,1,7.92609522170314e-3,6,10,0,0,13630,2089
20171020,2017-10-20T00:21:03.999695986Z,2017-10-20T00:21:04.000147998Z,0.000452012,16,1.3883088614484152e-3,289.5436,0.8816,538494.6,lightning,1,2.6261597492008852e-3,4,23,2,0,15835,1592
20171031,2017-10-31T19:20:51.119004011Z,2017-10-31T19:20:51.119599997Z,0.000595986,15,9.601097265745796e-3,297.8943,9.6809,543480.4,lightning,1,9.329918203425948e-4,2,24,0,0,17181,1276
20171104,2017-11-04T06:41:07.843283981Z,2017-11-04T06:41:07.843817979Z,0.000533998,18,3.1319137577386063e-3,266.7497,7.5752,535999.3,lightning,1,5.819341176952709e-3,6,22,1,0,15146,946
20171110,2017-11-10T12:15:44.471578001Z,2017-11-10T12:15:44.471695989Z,0.000117988,12,3.2084633505949384e-3,170.1300,-17.1318,539842.4,lightning,1,6.027624112777641e-3,3,14,2,1,18335,878
20171114,2017-11-14T02:52:35.551219969Z,2017-11-14T02:52:35.551449984Z,0.000230015,15,3.348421370393063e-1,104.8661,14.8879,546544.4,lightning,1,8.25871158101795e-5,2,17,1,1,20249,2064
20171115,2017-11-15T12:56:16.972153961Z,2017-11-15T12:56:16.972525954Z,0.000371993,13,4.0171304584477485e-2,105.6942,2.4450,537692.4,lightning,1,4.657623399721335e-3,8,18,1,0,14780,1394
20171117,2017-11-17T17:23:21.062817990Z,2017-11-17T17:23:21.062842011Z,0.000024021,8,2.7442282232522824e-1,24.3088,2.8966,538413.0,lightning,1,5.345440939267273e-3,11,8,1,0,13488,1942
20171122,2017-11-22T10:13:26.368507981Z,2017-11-22T10:13:26.368719995Z,0.000212014,12,6.571809973078899e-1,97.9753,6.0685,541629.0,lightning,1,1.3122593475944594e-3,7,14,3,3,14327,1027
20171124,2017-11-24T06:01:10.121647983Z,2017-11-24T06:01:10.122794002Z,0.001146019,23,5.605052602543034e-4,343.2546,6.9847,541349.4,lightning,1,1.065844365215966e-3,3,55,1,0,37870,1363
20171206,2017-12-06T01:42:57.029801994Z,2017-12-06T01:42:57.030766010Z,0.000964016,20,1.4724655728401825e-3,146.5199,-2.4792,547303.4,lightning,1,2.871570068027211e-3,7,31,1,0,18048,1515
20171210,2017-12-10T10:28:21.157483994Z,2017-12-10T10:28:21.157909989Z,0.000425995,11,3.1135215420571666e-1,321.2441,20.1755,545162.7,lightning,1,3.0479866322432585e-3,9,19,4,0,13472,2392
20171212,2017-12-12T01:42:44.427149981Z,2017-12-12T01:42:44.427319973Z,0.000169992,13,2.1900396384809576e-2,313.9871,24.3609,536696.4,lightning,1,1.0415087869846736e-2,7,14,1,0,16215,2259
20171215,2017-12-15T01:50:23.583385974Z,2017-12-15T01:50:23.583773970Z,0.000387996,15,6.141837953080949e-4,78.8209,4.6415,544524.7,lightning,1,8.196049504139005e-5,9,19,2,1,13439,2072
20171220,2017-12-20T21:49:37.976031959Z,2017-12-20T21:49:37.976241976Z,0.000210017,12,8.789771377401459e-3,120.2815,-12.8051,546225.8,lightning,1,1.5846711990820425e-3,22,13,4,3,10934,1036
20171227,2017-12-27T20:52:36.822065979Z,2017-12-27T20:52:36.822683960Z,0.000617981,27,1.2701392210470471e-2,120.6570,-33.6271,552129.8,lightning,1,1.230000262273584e-3,32,28,4,3,19645,2339
20180101,2018-01-01T16:47:36.227847993Z,2018-01-01T16:47:36.228244006Z,0.000396013,15,7.872985907851449e-1,126.8150,-18.8054,541919.8,lightning,1,1.214393719367265e-2,10,21,3,2,17246,1753
20180103,2018-01-03T19:37:38.004696011Z,2018-01-03T19:37:38.005001991Z,0.000305980,21,3.626682181647995e-4,65.3668,-14.5328,539332.7,lightning,1,4.921953446438816e-4,7,21,3,1,14365,1857
20180104,2018-01-04T03:27:09.668099969Z,2018-01-04T03:27:09.669079989Z,0.000980020,22,5.5732936171810105e-5,285.3127,4.2360,535564.2,lightning,1,7.02869255798705e-3,3,28,6,3,14163,2076
20180122,2018-01-22T17:14:10.568481981Z,2018-01-22T17:14:10.568583995Z,0.000102014,10,7.832356911837361e-2,128.4610,-13.2335,540604.5,lightning,1,2.3795296451110566e-3,12,12,4,1,13989,2424
20180127,2018-01-27T14:46:07.397661983Z,2018-01-27T14:46:07.397731989Z,0.000070006,12,1.6310867398065191e-3,117.5487,-25.6423,541946.4,lightning,1,2.976735570854848e-3,9,13,2,1,18956,2919
20180201,2018-02-01T16:26:33.910363972Z,2018-02-01T16:26:33.910425961Z,0.000061989,11,6.937772224448735e-1,255.1287,13.9075,546530.9,lightning,1,7.280527497746087e-3,4,11,1,0,18006,2114
20180205,2018-02-05T20:48:36.491883993Z,2018-02-05T20:48:36.491983979Z,0.000099986,14,2.985211245986073e-3,202.5653,-21.3988,551477.8,lightning,1,9.129319563970168e-4,4,14,2,2,15319,1787
20180208,2018-02-08T16:03:11.695161968Z,2018-02-08T16:03:11.695545971Z,0.000384003,19,1.1825839364738631e-1,21.5698,-24.8248,545172.3,lightning,1,2.868617326448652e-3,3,26,0,0,26502,2841
20180210,2018-02-10T17:29:07.019786Z,2018-02-10T17:29:07.020336002Z,0.000550002,14,3.820248612967135e-1,15.1288,-1.1122,537522.5,lightning,1,4.100090328661585e-3,5,25,4,0,19247,3482
20180211,2018-02-11T18:57:57.464019984Z,2018-02-11T18:57:57.464339971Z,0.000319987,15,8.120227398343708e-3,354.3331,6.6096,536601.4,lightning,1,4.917629702483403e-4,1,24,0,0,33794,2799
20180213,2018-02-13T07:26:13.513817995Z,2018-02-13T07:26:13.514725983Z,0.000907988,14,1.1995173762368649e-4,143.1451,-6.7068,540592.8,lightning,1,1.310766265060241e-3,8,27,2,0,13455,2505
