sat,start,dur_search_us,lat,bkg_per_ms,net_pm10ms,net_pm100ms,sigma_100,net_pm500ms,sigma_500,gap_max_ms_pm100,gap_rl,gap_offset_ms
GRID-02,2020-11-21T21:32:19.908,919.6,-43.39,1.020,51.6,30.0,14.3,8.0,31.9,7.29,7.4,51.2
GRID-02,2021-01-24T18:21:51.250,965.4,-52.27,1.284,40.3,53.2,16.0,45.8,35.8,3.07,3.9,80.7
GRID-02,2021-01-24T19:54:31.291,995.9,-47.18,1.652,82.0,62.6,18.2,-39.2,40.6,2.81,4.6,-40.5
GRID-02,2021-03-07T09:07:50.310,965.4,50.15,1.195,54.1,67.0,15.5,52.0,34.6,5.84,7.0,44.4
GRID-03B,2022-03-13T13:21:57.558,173.1,-7.81,0.680,17.4,23.0,11.7,-33.0,26.1,7.72,5.2,-99.0
GRID-03B,2022-03-25T11:46:34.723,79.6,-5.70,0.617,7.7,-7.3,11.1,2.5,24.8,11.88,7.3,29.5
GRID-03B,2022-05-01T21:55:53.131,665.4,-36.21,8.730,-19.6,-35.0,41.8,89.0,93.4,1.23,10.7,-8.5
GRID-03B,2022-05-05T15:38:21.223,264.6,2.66,5.881,25.4,3.7,34.3,-66.5,76.7,1.12,6.6,88.2
GRID-03B,2022-07-18T15:19:25.518,169.8,-25.78,0.647,5.1,-21.4,11.4,-5.0,25.4,9.45,6.1,-80.5
GRID-03B,2022-08-21T01:04:52.477,41.2,21.43,0.644,14.1,16.2,11.4,16.8,25.4,12.24,7.9,1.1
GRID-03B,2022-08-29T17:59:58.052,77.7,-29.01,0.595,7.1,14.1,10.9,-18.5,24.4,7.71,4.6,40.2
GRID-03B,2022-10-01T12:34:00.397,125.6,4.76,0.966,7.7,23.8,13.9,17.0,31.1,7.54,7.3,34.2
GRID-03B,2022-10-04T00:09:56.543,78.7,-11.96,0.716,27.7,44.9,12.0,46.5,26.7,6.21,4.4,-21.9
GRID-03B,2022-10-07T13:04:12.823,159.3,-4.57,0.791,25.2,35.7,12.6,39.5,28.1,6.21,4.9,-70.8
GRID-03B,2022-11-22T15:38:14.444,948.2,-24.17,1.340,83.2,79.0,16.4,20.8,36.6,4.07,5.5,-48.5
GRID-03B,2022-11-28T23:13:22.047,326.4,21.54,1.405,7.9,29.9,16.8,10.5,37.5,3.89,5.5,-43.9
GRID-03B,2023-03-20T20:25:56.103,66.5,-12.66,0.098,12.1,27.5,4.4,103.5,9.9,28.68,2.8,35.8
GRID-03B,2023-03-30T07:25:20.207,206.2,51.15,0.422,7.6,-7.3,9.2,-31.8,20.5,15.91,6.7,-77.8
GRID-03B,2023-05-14T21:24:58.443,68.4,-1.13,0.204,11.9,14.1,6.4,7.5,14.3,20.00,4.1,-66.7
GRID-03B,2023-06-02T07:07:31.260,466.3,6.20,0.237,11.3,19.5,6.9,25.5,15.4,16.36,3.9,52.9
GRID-03B,2023-06-13T08:34:56.817,739.6,-1.19,0.257,6.9,4.6,7.2,40.8,16.0,16.71,4.3,76.3
GRID-03B,2023-06-22T07:13:26.171,395.5,39.42,0.233,6.4,18.5,6.8,31.5,15.2,15.47,3.6,-84.4
GRID-03B,2023-07-01T14:50:37.075,175.2,-3.39,0.257,16.9,1.7,7.2,9.5,16.0,22.19,5.7,-56.6
GRID-03B,2023-07-04T17:16:17.500,384.1,45.33,0.275,9.5,8.0,7.4,1.8,16.6,21.20,5.8,-51.5
GRID-03B,2023-07-15T15:54:35.139,51.0,7.34,0.195,12.1,1.0,6.2,-7.0,14.0,41.25,8.0,-83.8
GRID-03B,2023-07-27T17:27:41.107,30.5,-27.88,0.357,9.9,1.6,8.5,-15.2,18.9,17.45,6.2,-69.8
GRID-03B,2023-08-08T19:53:50.655,353.6,-3.77,0.218,31.6,27.4,6.6,25.0,14.8,15.06,3.3,-62.5
GRID-03B,2023-08-10T09:50:45.572,333.8,15.62,0.503,24.9,25.4,10.0,33.8,22.4,12.17,6.1,-68.5
GRID-03B,2023-08-10T09:53:45.325,625.8,26.94,0.845,22.1,20.0,13.0,52.8,29.1,5.34,4.5,14.9
GRID-03B,2023-08-19T11:19:35.885,118.7,-31.35,0.312,7.8,14.6,7.9,-3.0,17.7,24.34,7.6,-49.3
GRID-03B,2023-08-31T09:33:56.322,501.2,29.46,0.179,7.4,6.1,6.0,2.5,13.4,21.26,3.8,-40.7
GRID-03B,2023-09-23T15:04:43.919,184.8,37.78,0.269,7.6,9.3,7.3,16.2,16.4,16.10,4.3,-76.9
GRID-03B,2023-10-09T12:02:33.915,94.7,-8.98,0.221,8.6,22.9,6.6,39.5,14.8,15.96,3.5,79.1
GRID-03B,2023-11-01T06:59:19.447,561.7,-12.01,0.235,10.3,7.9,6.9,-10.5,15.3,16.39,3.9,72.7
GRID-03B,2023-11-02T11:56:52.777,514.0,-19.78,0.211,7.8,-1.3,6.5,-23.5,14.5,34.11,7.2,-99.9
GRID-03B,2023-11-03T17:57:56.419,67.2,11.00,0.175,10.5,11.9,5.9,18.5,13.2,16.90,3.0,77.8
GRID-03B,2023-11-04T15:56:59.292,170.2,3.26,0.222,8.6,-2.3,6.7,-45.8,14.9,27.01,6.0,-46.9
GRID-03B,2023-11-18T11:39:47.324,425.8,4.29,0.298,7.0,15.4,7.7,32.8,17.3,13.25,4.0,-34.5
GRID-03B,2024-01-14T13:50:21.606,386.0,-33.96,0.363,10.7,14.5,8.5,25.2,19.0,10.15,3.7,45.5
GRID-03B,2024-01-18T15:57:04.315,43.9,3.05,0.169,10.6,7.3,5.8,18.2,13.0,21.13,3.6,-61.4
GRID-04,2022-04-14T21:08:44.692,979.4,-33.51,3.083,89.3,-11.7,24.8,-351.5,55.5,2.17,6.7,13.2
GRID-04,2022-08-19T11:42:21.034,941.5,-29.53,2.139,76.2,65.3,20.7,-33.8,46.2,3.65,7.8,55.8
GRID-04,2022-08-19T13:18:05.791,997.1,-28.01,2.291,79.2,81.8,21.4,140.8,47.9,3.71,8.5,58.1
GRID-04,2024-01-01T06:15:24.361,977.8,44.89,3.127,55.5,48.7,25.0,52.5,55.9,1.88,5.9,-92.9
GRID-04,2024-01-02T03:23:39.487,971.3,-36.50,1.369,75.6,56.2,16.5,-46.2,37.0,5.53,7.6,-55.6
GRID-04,2024-01-09T01:39:19.562,954.9,-38.53,1.688,41.2,27.4,18.4,-119.2,41.1,3.94,6.7,-56.7
GRID-04,2024-01-19T03:05:49.438,858.8,-36.51,1.327,59.5,19.5,16.3,-24.5,36.4,5.49,7.3,77.3
GRID-04,2024-01-26T20:04:19.632,978.2,-48.72,0.742,32.2,21.7,12.2,13.5,27.2,5.98,4.4,-76.5
GRID-04,2024-01-29T15:55:07.260,981.1,-21.18,0.536,40.3,41.7,10.4,65.5,23.2,8.57,4.6,-70.8
GRID-04,2024-02-01T13:10:09.634,964.2,53.03,0.660,42.8,46.0,11.5,11.8,25.7,7.55,5.0,65.9
GRID-07,2024-01-02T11:17:09.810,966.1,49.67,2.103,39.9,-43.5,20.5,-296.8,45.9,3.64,7.6,-79.9
GRID-07,2024-01-27T22:32:39.874,943.4,-52.25,1.525,51.5,64.0,17.5,39.0,39.1,5.11,7.8,4.3
GRID-07,2024-02-03T03:55:09.694,919.6,-47.08,1.177,47.5,18.7,15.3,-7.8,34.3,3.86,4.5,52.5
