start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2024-06-29T06:05:11.706698,3.078615959361697e-15,121.32427246754136,7.298679034307298,0.706698,33,1.4640,59,38,1.553,0.0000,0.0146,0.394,2984,3
2024-06-30T10:39:41.827104,2.8830859985016545e-24,-87.48726067309964,17.80095405918697,0.827104,35,1.4770,61,30,2.033,0.0000,0.0116,0.486,3534,3
2024-07-01T06:44:35.192968,5.485650594176674e-06,113.70014524927537,-2.041994577895827,0.192968,18,1.0160,50,34,1.485,0.0000,0.0137,0.444,2782,3
2024-07-03T11:05:04.423076,2.2258721817503752e-23,155.52606607306777,-24.138785038074623,0.423077,43,1.2570,16,31,0.516,0.0000,0.0133,0.930,3489,3
2024-07-03T14:37:18.964017,1.1769991926132497e-26,163.26237939449354,4.617370646080411,0.964017,59,2.0630,15,28,0.536,0.0000,0.0142,0.966,3020,2
2024-07-03T16:32:20.699037,2.1437071668403212e-24,-160.44610044814536,28.172353715798906,0.699038,54,1.7010,16,26,0.615,0.0185,0.0103,0.815,4236,3
2024-07-05T00:39:30.411009,2.7429782587191734e-10,9.930199120132945,8.65730550536042,0.411010,21,0.9830,71,45,1.578,0.0000,0.0076,0.524,5720,3
2024-07-11T13:50:52.042299,7.781172173846193e-47,156.43596333101104,22.427903185481952,0.042299,67,1.9670,16,29,0.552,0.0000,0.0158,0.896,3166,3
2024-07-12T02:23:24.497152,3.174641183648688e-25,-119.05748045140916,-18.039632007196435,0.497152,47,1.9130,16,33,0.485,0.0000,0.0126,0.894,3266,3
2024-07-12T04:51:17.229023,3.05747140602369e-15,31.089242116655115,14.613661913537406,0.229023,24,1.4570,80,30,2.683,0.0000,0.0119,0.458,3198,3
2024-07-12T06:00:25.956741,1.5444442046363684e-12,-97.56628138040183,20.109783264699868,0.956742,25,0.6400,99,30,3.300,0.0000,0.0101,0.360,4398,3
2024-07-12T21:09:20.065649,4.980974975359484e-09,163.9371094805013,3.116151759030275,0.065650,13,0.0540,145,36,4.028,0.0000,0.0102,0.385,4236,3
2024-07-13T09:55:44.361445,1.719474346267532e-11,-68.11359450033773,20.516810520642036,0.361446,19,1.4470,115,29,3.966,0.0000,0.0147,0.421,3106,3
2024-07-13T19:06:04.633336,2.5073196230981193e-13,25.484627274301495,6.486076880781805,0.633336,29,1.1630,70,53,1.321,0.0000,0.0080,0.448,5274,3
2024-07-14T14:34:09.569931,3.5498471931641083e-19,95.71765490635552,10.747917203565724,0.569931,49,1.7060,16,38,0.421,0.0000,0.0100,0.796,3958,3
2024-07-14T14:39:46.396073,1.7871564391637422e-08,113.90051846884077,19.52744724395684,0.396073,26,1.5770,58,36,1.625,0.0000,0.0103,0.423,3926,3
2024-07-14T18:17:38.246223,1.785824822528037e-09,153.56071203498468,21.586552175666508,0.246224,26,1.2440,69,35,1.986,0.0385,0.0082,0.423,4309,3
2024-07-14T21:37:45.680312,6.08643613664882e-11,123.42848913932416,12.931651020013202,0.680313,37,1.2680,15,35,0.429,0.0000,0.0096,0.892,4254,3
2024-07-15T05:44:03.244879,1.8889625213438633e-06,1.495195653148749,11.90618648558201,0.244880,219,8.0950,44,33,1.333,0.0000,0.0088,0.361,4676,3
2024-07-15T05:44:03.260610,1.540427928679682e-10,1.4960169319119,11.905747931795652,0.260610,189,6.4660,54,33,1.636,0.0053,0.0088,0.370,4681,3
2024-07-15T05:44:03.340588,8.293450792764465e-11,1.5001932416940331,11.903517828510221,0.340588,105,3.5760,55,32,1.719,0.0095,0.0083,0.410,4691,3
2024-07-15T05:44:03.346495,8.406329642491448e-16,1.500501170454256,11.903353397954138,0.346496,381,11.0020,50,32,1.562,0.0026,0.0085,0.409,4568,3
2024-07-15T05:44:03.357695,2.420557614049616e-11,1.5010873421313102,11.903040388754386,0.357695,288,9.8970,48,32,1.500,0.0000,0.0086,0.372,4613,3
2024-07-16T11:49:24.801470,9.894159759373897e-19,108.26454186327047,2.769364605535251,0.801470,28,1.4880,53,32,1.656,0.0357,0.0087,0.429,3372,3
2024-07-18T02:50:00.239587,9.116454893188467e-13,-97.01114957625713,18.40467713775167,0.239587,48,1.8780,16,32,0.500,0.0000,0.0072,0.812,5126,3
2024-07-18T23:32:13.392619,1.4564664720871694e-14,-122.58235928294842,-16.4846147698199,0.392619,37,1.5440,15,35,0.429,0.0000,0.0121,0.865,3195,3
2024-07-20T05:19:31.509700,1.1345385978179443e-09,-75.35359607056137,27.483549716602703,0.509700,21,1.4060,50,31,1.613,0.0476,0.0124,0.381,3678,3
2024-07-20T08:45:36.494378,4.853680695768032e-17,-83.45401540837088,13.032283475081643,0.494378,28,1.1900,74,30,2.483,0.0000,0.0126,0.357,3502,3
