sat,start,cls,table,hemi,lon,lat,travel_ms,shifted_start
GRID-02,2020-11-21T21:32:19.908,long,near,S,-173.367,-44.697,1.5,2020-11-21T21:32:19.906
GRID-02,2020-11-21T21:32:19.908,long,far,N,-149.123,48.588,92.3,2020-11-21T21:32:19.816
GRID-02,2021-01-24T18:21:51.250,long,near,S,-129.200,-53.690,1.5,2021-01-24T18:21:51.249
GRID-02,2021-01-24T18:21:51.250,long,far,N,-106.783,39.591,88.6,2021-01-24T18:21:51.162
GRID-02,2021-01-24T19:54:31.291,long,near,S,-150.457,-48.588,1.5,2021-01-24T19:54:31.290
GRID-02,2021-01-24T19:54:31.291,long,far,N,-125.575,42.728,86.5,2021-01-24T19:54:31.205
GRID-02,2021-03-07T09:07:50.310,long,near,N,-168.386,51.725,1.5,2021-03-07T09:07:50.309
GRID-02,2021-03-07T09:07:50.310,long,far,S,171.730,-41.654,91.8,2021-03-07T09:07:50.218
GRID-03B,2022-03-13T13:21:57.558,short,near,S,138.108,-13.104,2.7,2022-03-13T13:21:57.556
GRID-03B,2022-03-13T13:21:57.558,short,far,N,138.458,28.891,17.6,2022-03-13T13:21:57.541
GRID-03B,2022-03-25T11:46:34.723,short,near,S,160.906,-12.373,3.2,2022-03-25T11:46:34.719
GRID-03B,2022-03-25T11:46:34.723,short,far,N,165.306,25.357,14.2,2022-03-25T11:46:34.708
GRID-03B,2022-05-01T21:55:53.131,long,near,S,-177.794,-38.216,1.8,2022-05-01T21:55:53.129
GRID-03B,2022-05-01T21:55:53.131,long,far,N,-159.036,44.583,65.7,2022-05-01T21:55:53.065
GRID-03B,2022-05-05T15:38:21.223,short,near,S,102.728,-6.819,4.2,2022-05-05T15:38:21.219
GRID-03B,2022-05-05T15:38:21.223,short,far,N,102.380,20.915,8.0,2022-05-05T15:38:21.215
GRID-03B,2022-07-18T15:19:25.518,short,near,S,111.144,-27.963,1.8,2022-07-18T15:19:25.516
GRID-03B,2022-07-18T15:19:25.518,short,far,N,108.767,43.244,50.4,2022-07-18T15:19:25.467
GRID-03B,2022-08-21T01:04:52.477,short,near,N,143.593,27.389,2.9,2022-08-21T01:04:52.474
GRID-03B,2022-08-21T01:04:52.477,short,far,S,142.604,-11.550,15.3,2022-08-21T01:04:52.461
GRID-03B,2022-08-29T17:59:58.052,short,near,S,72.206,-30.696,1.7,2022-08-29T17:59:58.050
GRID-03B,2022-08-29T17:59:58.052,short,far,N,65.391,44.610,58.1,2022-08-29T17:59:57.994
GRID-03B,2022-10-01T12:34:00.397,short,near,S,146.998,-6.769,5.0,2022-10-01T12:34:00.392
GRID-03B,2022-10-01T12:34:00.397,short,far,N,148.317,22.317,7.6,2022-10-01T12:34:00.390
GRID-03B,2022-10-04T00:09:56.543,short,near,S,152.310,-16.258,2.3,2022-10-04T00:09:56.541
GRID-03B,2022-10-04T00:09:56.543,short,far,N,155.813,31.442,21.7,2022-10-04T00:09:56.522
GRID-03B,2022-10-07T13:04:12.823,short,near,S,141.087,-10.820,3.0,2022-10-07T13:04:12.820
GRID-03B,2022-10-07T13:04:12.823,short,far,N,141.795,26.640,14.3,2022-10-07T13:04:12.808
GRID-03B,2022-11-22T15:38:14.444,long,near,S,105.769,-26.375,1.8,2022-11-22T15:38:14.442
GRID-03B,2022-11-22T15:38:14.444,long,far,N,103.275,41.446,45.7,2022-11-22T15:38:14.398
GRID-03B,2022-11-28T23:13:22.047,short,near,N,171.974,26.957,2.7,2022-11-28T23:13:22.044
GRID-03B,2022-11-28T23:13:22.047,short,far,S,166.042,-15.518,17.8,2022-11-28T23:13:22.029
GRID-03B,2023-03-20T20:25:56.103,short,near,S,32.204,-15.859,2.0,2023-03-20T20:25:56.101
GRID-03B,2023-03-20T20:25:56.103,short,far,N,31.931,31.930,23.4,2023-03-20T20:25:56.079
GRID-03B,2023-03-30T07:25:20.207,short,near,N,55.043,52.487,1.6,2023-03-30T07:25:20.206
GRID-03B,2023-03-30T07:25:20.207,short,far,S,66.901,-39.468,95.8,2023-03-30T07:25:20.111
GRID-03B,2023-05-14T21:24:58.443,short,near,S,15.789,-6.426,2.6,2023-05-14T21:24:58.441
GRID-03B,2023-05-14T21:24:58.443,short,far,N,16.074,26.982,12.9,2023-05-14T21:24:58.430
GRID-03B,2023-06-02T07:07:31.260,short,near,S,51.382,-5.966,5.3,2023-06-02T07:07:31.255
GRID-03B,2023-06-02T07:07:31.260,short,far,N,50.874,19.499,5.7,2023-06-02T07:07:31.255
GRID-03B,2023-06-13T08:34:56.817,long,near,S,28.038,-7.027,2.8,2023-06-13T08:34:56.815
GRID-03B,2023-06-13T08:34:56.817,long,far,N,28.906,24.800,11.7,2023-06-13T08:34:56.806
GRID-03B,2023-06-22T07:13:26.171,short,near,N,55.006,41.459,1.7,2023-06-22T07:13:26.169
GRID-03B,2023-06-22T07:13:26.171,short,far,S,61.040,-28.121,47.9,2023-06-22T07:13:26.123
GRID-03B,2023-07-01T14:50:37.075,short,near,S,114.728,-9.559,2.9,2023-07-01T14:50:37.072
GRID-03B,2023-07-01T14:50:37.075,short,far,N,114.161,23.430,12.1,2023-07-01T14:50:37.063
GRID-03B,2023-07-04T17:16:17.500,short,near,N,70.610,46.860,1.5,2023-07-04T17:16:17.498
GRID-03B,2023-07-04T17:16:17.500,short,far,S,77.782,-32.598,66.7,2023-07-04T17:16:17.433
GRID-03B,2023-07-15T15:54:35.139,short,near,N,-80.984,12.259,2.5,2023-07-15T15:54:35.136
GRID-03B,2023-07-15T15:54:35.139,short,far,S,-81.088,-34.927,20.3,2023-07-15T15:54:35.118
GRID-03B,2023-07-27T17:27:41.107,short,near,S,79.871,-29.514,1.6,2023-07-27T17:27:41.105
GRID-03B,2023-07-27T17:27:41.107,short,far,N,74.094,43.943,55.4,2023-07-27T17:27:41.051
GRID-03B,2023-08-19T11:19:35.885,short,near,S,171.258,-33.380,1.7,2023-08-19T11:19:35.883
GRID-03B,2023-08-19T11:19:35.885,short,far,N,-174.693,44.005,55.5,2023-08-19T11:19:35.829
GRID-03B,2023-08-31T09:33:56.322,long,near,N,18.399,32.903,2.0,2023-08-31T09:33:56.320
GRID-03B,2023-08-31T09:33:56.322,long,far,S,18.773,-13.973,22.9,2023-08-31T09:33:56.299
GRID-03B,2023-09-23T15:04:43.919,short,near,N,105.501,39.840,1.6,2023-09-23T15:04:43.917
GRID-03B,2023-09-23T15:04:43.919,short,far,S,107.629,-24.866,41.4,2023-09-23T15:04:43.878
GRID-03B,2023-10-09T12:02:33.915,short,near,S,157.616,-13.748,2.4,2023-10-09T12:02:33.912
GRID-03B,2023-10-09T12:02:33.915,short,far,N,161.777,27.733,17.4,2023-10-09T12:02:33.897
