sat,start,fa,count,mean,dur_us,lon,lat,rate_win,n_core,n_det_hit,det_frac_max,max_mult,n_times,min_dt_us,pi_core_med,pi_bkg_med,pi_ratio,n_pm5ms,pass_rate
GRID-02,2020-11-21T21:32:19.908,2.824e-08,17,0.7784,919.6,-172.49,-43.39,1024,17,4,0.471,2,16,11.68,22,13,1.692,44,1250
GRID-02,2020-12-11T07:50:26.223,1.492e-09,34,4.4038,974.9,-148.40,48.31,4776,37,4,0.297,2,35,0.24,18,18,1.000,83,1415
GRID-02,2021-01-24T18:21:51.250,1.893e-08,20,1.2433,965.4,-127.71,-52.27,1329,20,4,0.400,1,20,9.30,22,16,1.406,28,1536
GRID-02,2021-01-24T19:54:31.291,3.666e-22,32,1.4807,995.9,-149.31,-47.18,1614,32,4,0.312,3,25,28.13,20,17,1.206,68,1539
GRID-02,2021-03-07T09:07:50.310,4.652e-09,20,1.1584,965.4,-168.71,50.15,1253,19,4,0.368,1,19,7.39,29,19,1.526,47,949
GRID-03B,2022-03-11T07:18:39.074,7.265e-08,8,0.0256,5.5,-132.07,2.50,4893,4,4,0.250,4,1,0.00,27,26,1.038,52,3510
GRID-03B,2022-03-11T21:45:59.609,7.563e-10,11,0.1133,351.7,6.57,32.78,388,7,3,0.429,2,6,2.62,14,12,1.167,9,404
GRID-03B,2022-03-13T13:21:57.558,1.301e-12,12,0.0946,173.1,138.45,-7.81,645,11,3,0.455,1,11,2.38,48,17,2.824,12,737
GRID-03B,2022-03-14T06:54:50.225,7.657e-06,8,0.0460,10.0,-126.12,2.37,4949,4,4,0.250,4,1,0.00,84,26,3.250,52,3608
GRID-03B,2022-03-14T21:24:19.247,8.581e-06,9,0.1145,354.3,10.34,40.71,387,5,3,0.400,3,3,29.56,14,13,1.077,4,410
GRID-03B,2022-03-17T06:28:16.539,2.569e-06,8,0.0399,8.3,-118.18,-7.60,5356,4,4,0.250,4,1,0.00,27,26,1.058,53,4000
GRID-03B,2022-03-17T20:48:40.628,3.069e-09,8,0.0234,57.7,26.12,-3.12,528,5,4,0.400,4,2,15.02,10,13,0.769,8,424
GRID-03B,2022-03-19T06:16:38.168,2.278e-06,8,0.0394,8.3,-117.44,8.72,5493,5,4,0.400,4,2,5.01,28,26,1.077,61,4189
GRID-03B,2022-03-25T11:46:34.723,3.114e-07,8,0.0405,79.6,161.95,-5.70,619,7,4,0.286,2,6,2.86,36,14,2.571,11,535
GRID-03B,2022-03-25T18:14:42.523,9.007e-09,8,0.0284,114.4,61.75,17.81,364,4,4,0.250,3,2,3.10,85,11,7.727,7,418
GRID-03B,2022-04-01T18:50:50.507,5.779e-11,8,0.0146,45.1,54.07,7.70,526,4,4,0.250,4,1,0.00,34,10,3.400,11,520
GRID-03B,2022-04-03T09:37:35.583,1.888e-09,8,0.0227,72.0,19.00,36.67,505,4,4,0.250,4,1,0.00,84,10,8.400,8,1015
GRID-03B,2022-04-03T15:21:48.547,4.265e-18,15,0.1147,286.1,107.21,0.99,710,15,4,0.400,1,15,0.24,20,9,2.222,6,738
GRID-03B,2022-04-03T18:35:46.774,8.707e-06,8,0.0660,222.9,57.18,12.47,555,7,4,0.286,4,4,1.67,81,8,10.125,9,585
GRID-03B,2022-04-04T21:39:45.732,7.823e-18,8,0.0021,7.2,10.51,17.25,580,4,4,0.250,4,1,0.00,68,8,8.562,8,734
GRID-03B,2022-04-08T05:01:58.324,6.274e-07,8,0.0334,6.9,-94.76,-21.52,15936,4,4,0.250,4,1,0.00,27,3,9.000,163,14505
GRID-03B,2022-04-10T07:10:05.379,2.205e-06,8,0.0399,9.8,52.29,15.35,16828,4,4,0.250,4,1,0.00,26,3,8.833,153,15968
GRID-03B,2022-04-12T10:00:15.729,1.358e-11,8,0.0123,39.8,12.14,30.68,1079,4,4,0.250,4,1,0.00,84,4,21.125,14,1142
GRID-03B,2022-04-13T09:52:37.003,1.273e-08,8,0.0289,94.2,13.59,28.07,977,7,4,0.286,4,2,31.23,84,4,21.000,14,1040
GRID-03B,2022-04-20T07:21:04.441,6.386e-09,8,0.0258,67.0,49.88,18.05,2170,6,4,0.333,4,2,61.99,62,4,15.500,25,2169
GRID-03B,2022-04-20T11:16:52.978,7.590e-06,8,0.0604,116.1,172.66,-29.10,2258,6,4,0.333,3,4,0.24,58,4,14.500,38,2252
GRID-03B,2022-04-21T07:13:36.135,4.608e-06,8,0.0439,11.0,51.22,14.36,28024,4,4,0.250,4,1,0.00,27,3,9.000,306,27562
GRID-03B,2022-04-21T15:56:48.153,2.019e-09,8,0.0212,36.0,101.44,-21.39,2384,4,4,0.250,4,1,0.00,81,4,20.375,32,2134
GRID-03B,2022-04-23T08:30:05.659,7.462e-07,8,0.0472,129.0,33.18,21.86,2646,5,4,0.400,4,2,105.14,54,4,13.500,18,3110
