sat,start,fa,dur_us,lon,lat,alt_km,cls,footN_lon,footN_lat,pathN_km,reachedN,footS_lon,footS_lat,pathS_km,reachedS,travelN_ms,travelS_ms
GRID-02,2020-11-21T21:32:19.908,2.824e-08,919.6,-172.490,-43.390,481.8,long,-149.123,48.588,26287,1,-173.367,-44.697,417,1,92.3,1.5
GRID-02,2021-01-24T18:21:51.250,1.893e-08,965.4,-127.710,-52.270,493.1,long,-106.783,39.591,25225,1,-129.200,-53.690,439,1,88.6,1.5
GRID-02,2021-01-24T19:54:31.291,3.666e-22,995.9,-149.310,-47.180,491.4,long,-125.575,42.728,24634,1,-150.457,-48.588,434,1,86.5,1.5
GRID-02,2021-03-07T09:07:50.310,4.652e-09,965.4,-168.710,50.150,478.0,long,-168.386,51.725,421,1,171.730,-41.654,26136,1,1.5,91.8
GRID-03B,2022-03-13T13:21:57.558,1.301e-12,173.1,138.450,-7.810,551.1,short,138.458,28.891,5008,1,138.108,-13.104,768,1,17.6,2.7
GRID-03B,2022-03-25T11:46:34.723,3.114e-07,79.6,161.950,-5.700,554.7,short,165.306,25.357,4057,1,160.906,-12.373,914,1,14.2,3.2
GRID-03B,2022-05-01T21:55:53.131,2.276e-07,665.4,-176.840,-36.210,562.0,long,-159.036,44.583,18719,1,-177.794,-38.216,526,1,65.7,1.8
GRID-03B,2022-05-05T15:38:21.223,1.667e-16,264.6,102.680,2.660,529.1,short,102.380,20.915,2267,1,102.728,-6.819,1199,1,8.0,4.2
GRID-03B,2022-07-18T15:19:25.518,4.906e-06,169.8,111.060,-25.780,555.2,short,108.767,43.244,14365,1,111.144,-27.963,522,1,50.4,1.8
GRID-03B,2022-08-21T01:04:52.477,1.483e-22,41.2,143.890,21.430,542.1,short,143.593,27.389,827,1,142.604,-11.550,4366,1,2.9,15.3
GRID-03B,2022-08-29T17:59:58.052,1.627e-07,77.7,71.300,-29.010,533.2,short,65.391,44.610,16536,1,72.206,-30.696,485,1,58.1,1.7
GRID-03B,2022-10-01T12:34:00.397,1.011e-06,125.6,147.870,4.760,538.9,short,148.317,22.317,2164,1,146.998,-6.769,1438,1,7.6,5.0
GRID-03B,2022-10-04T00:09:56.543,6.003e-43,78.7,152.910,-11.960,527.6,short,155.813,31.442,6191,1,152.310,-16.258,663,1,21.7,2.3
GRID-03B,2022-10-07T13:04:12.823,4.481e-30,159.3,141.520,-4.570,541.6,short,141.795,26.640,4084,1,141.087,-10.820,857,1,14.3,3.0
GRID-03B,2022-11-22T15:38:14.444,8.223e-08,948.2,105.630,-24.170,536.7,long,103.275,41.446,13009,1,105.769,-26.375,507,1,45.7,1.8
GRID-03B,2022-11-28T23:13:22.047,9.078e-06,326.4,171.420,21.540,533.5,short,171.974,26.957,770,1,166.042,-15.518,5064,1,2.7,17.8
GRID-03B,2023-03-20T20:25:56.103,1.465e-23,66.5,31.840,-12.660,512.8,short,31.931,31.930,6669,1,32.204,-15.859,558,1,23.4,2.0
GRID-03B,2023-03-30T07:25:20.207,3.693e-07,206.2,54.650,51.150,529.5,short,55.043,52.487,458,1,66.901,-39.468,27293,1,1.6,95.8
GRID-03B,2023-05-14T21:24:58.443,2.530e-11,68.4,15.670,-1.130,520.6,short,16.074,26.982,3666,1,15.789,-6.426,750,1,12.9,2.6
GRID-03B,2023-06-02T07:07:31.260,7.939e-06,466.3,50.780,6.200,502.1,short,50.874,19.499,1635,1,51.382,-5.966,1503,1,5.7,5.3
GRID-03B,2023-06-13T08:34:56.817,6.618e-07,739.6,28.010,-1.190,508.9,long,28.906,24.800,3336,1,28.038,-7.027,797,1,11.7,2.8
GRID-03B,2023-06-22T07:13:26.171,2.322e-06,395.5,54.740,39.420,508.3,short,55.006,41.459,473,1,61.040,-28.121,13648,1,1.7,47.9
GRID-03B,2023-07-01T14:50:37.075,3.786e-27,175.2,114.780,-3.390,499.1,short,114.161,23.430,3442,1,114.728,-9.559,824,1,12.1,2.9
GRID-03B,2023-07-04T17:16:17.500,2.439e-08,384.1,70.360,45.330,502.2,short,70.610,46.860,440,1,77.782,-32.598,19010,1,1.5,66.7
GRID-03B,2023-07-15T15:54:35.139,6.373e-16,51.0,-80.600,7.340,512.2,short,-80.984,12.259,708,1,-81.088,-34.927,5777,1,2.5,20.3
GRID-03B,2023-07-27T17:27:41.107,3.118e-12,30.5,79.200,-27.880,505.1,short,74.094,43.943,15779,1,79.871,-29.514,453,1,55.4,1.6
GRID-03B,2023-08-19T11:19:35.885,7.165e-08,118.7,171.990,-31.350,515.0,short,-174.693,44.005,15819,1,171.258,-33.380,483,1,55.5,1.7
GRID-03B,2023-08-31T09:33:56.322,4.252e-07,501.2,18.170,29.460,491.3,long,18.399,32.903,561,1,18.773,-13.973,6518,1,2.0,22.9
GRID-03B,2023-09-23T15:04:43.919,1.075e-06,184.8,105.660,37.780,492.5,short,105.501,39.840,460,1,107.629,-24.866,11785,1,1.6,41.4
GRID-03B,2023-10-09T12:02:33.915,1.952e-17,94.7,158.340,-8.980,488.6,short,161.777,27.733,4944,1,157.616,-13.748,683,1,17.4,2.4
GRID-03B,2023-11-01T06:59:19.447,9.220e-06,561.7,51.660,-12.010,495.0,long,50.510,29.073,5929,1,52.342,-15.536,575,1,20.8,2.0
GRID-03B,2023-11-02T11:56:52.777,5.584e-09,514.0,161.550,-19.780,486.0,long,168.036,36.208,9027,1,160.942,-22.651,515,1,31.7,1.8
GRID-03B,2023-11-03T17:57:56.419,1.153e-20,67.2,67.170,11.000,484.0,short,67.079,19.879,1112,1,68.232,-6.245,2129,1,3.9,7.5
