date,start,stop,count,mean,sf,false_positive_per_year,lat,lon,alt,n,n_acd,n_acd_multi,n_bg,n_acd_bg,neighbors_10min,is_train,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20170623,2017-06-23T02:00:05.918237984Z,2017-06-23T02:00:05.919551968Z,22,1.080705711762537,8.192264820125343e-23,2.154686401764319e-11,20.363533766099813,109.40573503477931,544348.1284257502,34,1,0,17699,706,4,0,34,1,0,17699,706,0.147
20170624,2017-06-24T06:05:39.729631990Z,2017-06-24T06:05:39.730889976Z,23,1.215189623445553,5.402546206549143e-23,1.1069546875154059e-11,20.7346453967461,267.54617791557075,537181.0539814979,37,13,5,15488,1271,15,0,37,13,5,15488,1271,0.081
20170626,2017-06-26T10:21:44.449025988Z,2017-06-26T10:21:44.450805991Z,26,0.4081913578804926,1.929475639438104e-39,8.22841976854878e-28,-8.550159916069507,156.4313398965311,541880.3538675547,42,8,1,10844,1702,12,0,42,8,1,10844,1702,0.119
20170626,2017-06-26T19:57:08.547657996Z,2017-06-26T19:57:08.549411982Z,30,2.2807536483460855,1.686260364852092e-24,1.673298304212951e-13,-0.5372497841238976,18.64750422842741,539556.8548862934,51,5,2,14305,943,7,0,51,5,2,14305,943,0.137
20170627,2017-06-27T13:25:56.182879984Z,2017-06-27T13:25:56.184565991Z,35,1.263686008995846,3.587080306371392e-39,6.35919940827081e-28,-1.594801229387522,110.61360359218718,540327.0605288744,47,9,1,14037,1537,3,0,47,9,1,14037,1537,0.128
20170627,2017-06-27T14:08:40.036956012Z,2017-06-27T14:08:40.038632005Z,42,2.772578660670399,1.2217082835338893e-35,1.0040074937532899e-24,14.0565650147295,265.9599686581469,542041.6965847969,59,4,0,14293,1557,12,0,59,4,0,14293,1557,0.119
20170627,2017-06-27T14:09:46.999009966Z,2017-06-27T14:09:47.000467985Z,27,0.8993479251924388,7.0618877239009e-32,1.714308608299612e-20,11.251499008695783,268.91212968700586,542357.7948198081,39,2,0,13653,1469,12,0,39,2,0,13653,1469,0.103
20170628,2017-06-28T14:00:46.910173982Z,2017-06-28T14:00:46.911529988Z,32,1.327149572255399,3.6188272149038616e-34,6.274711844870871e-23,10.571095791816713,265.5069981917,541883.6064573288,46,5,0,14198,1172,14,0,46,5,0,14198,1172,0.109
20170630,2017-06-30T21:36:03.672615975Z,2017-06-30T21:36:03.674391984Z,43,2.19925098034588,5.036227763817119e-41,7.031709123516665e-30,18.269061748983862,127.5868135346541,539995.6418205798,61,0,0,19213,908,1,0,61,0,0,19213,908,0.213
20170701,2017-07-01T01:48:19.960327982Z,2017-07-01T01:48:19.962015986Z,42,1.306194475865658,4.4977603614478875e-49,8.349695823039365e-38,16.63769970323563,282.55997453922276,539489.091050148,57,9,2,15228,2257,12,0,57,9,2,15228,2257,0.105
