date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20170703,2017-07-03T11:00:00.000097990Z,2017-07-03T11:00:00.008868008Z,0.008770018,24,2.616765527539987e-8,123.1144,11.4318,541195.6,direct,0,7.556777395295467e-4,20,140,8,2,902,57,140,8,2,902,57,0.100
20170703,2017-07-03T11:00:00.027590006Z,2017-07-03T11:00:00.030797988Z,0.003207982,22,5.776429534282021e-7,123.1156,11.4329,541195.5,direct,0,7.556777313334973e-4,20,49,2,0,854,56,49,2,0,854,56,0.122
20170703,2017-07-03T11:00:00.046436011Z,2017-07-03T11:00:00.050781995Z,0.004345984,20,3.916659460441816e-6,123.1165,11.4337,541195.4,direct,0,7.556777313334973e-4,20,64,3,1,855,50,64,3,1,855,50,0.125
20170703,2017-07-03T11:00:00.055224001Z,2017-07-03T11:00:00.058162003Z,0.002938002,19,3.262714308770519e-6,123.1168,11.4341,541195.3,direct,0,7.556777395295467e-4,20,45,6,0,859,44,45,6,0,859,44,0.156
20170703,2017-07-03T11:00:00.059639990Z,2017-07-03T11:00:00.062824010Z,0.003184020,23,1.863329965914442e-8,123.1170,11.4343,541195.3,direct,0,7.556777395295467e-4,20,53,5,5,864,46,53,5,5,864,46,0.151
20170707,2017-07-07T14:04:01.984637975Z,2017-07-07T14:04:01.984957993Z,0.000320018,13,4.54670862986124e-7,178.4677,30.8275,538515.6,direct,0,1.4644373985738873e-3,30,17,6,1,10389,1067,17,6,1,10389,1067,0.235
20170709,2017-07-09T01:59:36.458579987Z,2017-07-09T01:59:36.458983987Z,0.000404000,10,1.870266832361786e-6,199.9813,-8.7264,548335.4,direct,0,0e0,33,14,1,0,8456,1572,14,1,0,8456,1572,0.214
20170709,2017-07-09T14:49:49.642601996Z,2017-07-09T14:49:49.644081979Z,0.001479983,22,2.352564623587917e-6,23.9062,9.7159,544691.2,direct,0,4.917629702483403e-4,17,27,2,2,10156,1047,27,2,2,10156,1047,0.185
20170712,2017-07-12T20:42:18.864825993Z,2017-07-12T20:42:18.864899992Z,0.000073999,13,2.097452186830021e-6,271.4158,6.6381,546391.3,direct,0,4.918656667486272e-4,28,13,4,2,9634,1764,13,4,2,9634,1764,0.231
20170713,2017-07-13T09:49:10.618211984Z,2017-07-13T09:49:10.618227988Z,0.000016004,10,9.004330263915617e-6,167.0645,42.4270,543935.9,direct,0,0e0,21,10,2,2,16206,814,10,2,2,16206,814,0.200
20170714,2017-07-14T07:45:10.053292006Z,2017-07-14T07:45:10.054010003Z,0.000717997,17,1.5544162827309546e-8,109.1937,17.8309,546194.3,direct,0,5.737234652897303e-4,10,25,0,0,14801,1280,25,0,0,14801,1280,0.160
20170716,2017-07-16T20:54:58.032995998Z,2017-07-16T20:54:58.034330010Z,0.001334012,13,6.596030717102463e-7,68.3648,-12.0507,538826.8,direct,0,0e0,27,25,5,4,8421,1507,25,5,4,8421,1507,0.280
20170717,2017-07-17T14:11:41.576621979Z,2017-07-17T14:11:41.577986001Z,0.001364022,20,2.509820414041635e-6,128.9560,19.6921,538086.2,direct,1,2.368989722153922e-3,2,39,1,1,18550,1167,39,1,1,18550,1167,0.179
20170718,2017-07-18T22:08:14.657897979Z,2017-07-18T22:08:14.658089995Z,0.000192016,15,4.533896832064456e-7,26.7917,-2.9584,537045.6,direct,0,1.2294214654536514e-3,7,17,0,0,12166,741,17,0,0,12166,741,0.176
20170720,2017-07-20T08:37:33.524923980Z,2017-07-20T08:37:33.525235980Z,0.000312000,10,9.933637100206634e-6,106.2082,41.2493,549575.7,direct,0,8.196049504139005e-5,30,18,1,0,13584,713,18,1,0,13584,713,0.111
20170724,2017-07-24T01:06:24.930731981Z,2017-07-24T01:06:24.931043982Z,0.000312001,10,4.059766591314575e-6,86.8960,-30.6015,549249.4,direct,0,0e0,25,18,2,0,17089,3128,18,2,0,17089,3128,0.111
20170729,2017-07-29T13:19:47.788447976Z,2017-07-29T13:19:47.789421975Z,0.000973999,18,1.0225134896787356e-7,278.3502,10.4514,543533.2,direct,1,2.5378853618555856e-3,11,31,2,1,14231,897,31,2,1,14231,897,0.097
20170730,2017-07-30T21:48:13.636129975Z,2017-07-30T21:48:13.637839972Z,0.001709997,20,7.696175520273013e-8,303.3294,7.2838,542777.6,direct,0,4.0984488156708466e-4,6,33,4,3,12085,1476,33,4,3,12085,1476,0.152
20170730,2017-07-30T23:21:40.442011982Z,2017-07-30T23:21:40.443383991Z,0.001372009,37,1.2883313029789425e-8,274.0536,12.2016,543486.9,direct,0,6.792038046061798e-3,9,49,5,2,14524,2027,49,5,2,14524,2027,0.122
20170803,2017-08-03T21:07:09.325281977Z,2017-08-03T21:07:09.325513988Z,0.000232011,16,1.15067454403227e-6,276.6530,17.0679,546049.1,direct,1,3.281599868863208e-4,12,18,4,1,15110,1832,18,4,1,15110,1832,0.278
