sat,start,dur_search_us,lat,bkg_per_ms,dur_1ms_bins,excess_1ms,n_sig_bins_pm30ms,dur_100us_bins,excess_100us,det_frac_max_wide,n_det_wide,pi_med_wide,pi_med_bkg
GRID-02,2020-11-21T21:32:19.908,919.6,-43.39,0.987,4,46.1,4,1,3.9,0.32,4,22,13
GRID-02,2021-01-24T18:21:51.250,965.4,-52.27,1.289,3,34.1,3,1,2.9,0.29,4,22,16
GRID-02,2021-01-24T19:54:31.291,995.9,-47.18,1.565,4,77.7,4,5,17.2,0.30,4,16,17
GRID-02,2021-03-07T09:07:50.310,965.4,50.15,1.194,4,50.2,4,1,3.9,0.29,4,27,19
GRID-03B,2022-03-13T13:21:57.558,173.1,-7.81,0.632,2,13.7,2,2,9.9,0.47,3,28,16
GRID-03B,2022-03-25T11:46:34.723,79.6,-5.70,0.614,1,10.4,1,1,7.9,0.45,4,36,14
GRID-03B,2022-05-01T21:55:53.131,665.4,-36.21,8.847,0,0.0,0,1,5.1,0.33,4,61,4
GRID-03B,2022-05-05T15:38:21.223,264.6,2.66,5.762,1,14.2,1,2,8.8,0.45,4,28,4
GRID-03B,2022-07-18T15:19:25.518,169.8,-25.78,0.643,1,8.4,1,2,7.9,0.33,3,69,18
GRID-03B,2022-08-21T01:04:52.477,41.2,21.43,0.691,1,14.3,1,1,12.9,0.33,4,56,19
GRID-03B,2022-08-29T17:59:58.052,77.7,-29.01,0.588,1,8.4,1,2,7.9,0.33,4,81,15
GRID-03B,2022-10-01T12:34:00.397,125.6,4.76,0.957,1,6.0,1,1,6.9,0.29,4,36,10
GRID-03B,2022-10-04T00:09:56.543,78.7,-11.96,0.734,1,20.3,1,2,20.9,0.33,4,52,8
GRID-03B,2022-10-07T13:04:12.823,159.3,-4.57,0.802,1,19.2,1,2,16.8,0.30,4,31,8
GRID-03B,2022-11-22T15:38:14.444,948.2,-24.17,1.296,2,17.4,7,1,3.9,0.40,4,12,8
GRID-03B,2022-11-28T23:13:22.047,326.4,21.54,1.405,1,9.6,1,2,7.7,0.36,4,84,8
GRID-03B,2023-03-20T20:25:56.103,66.5,-12.66,0.179,1,12.8,2,1,11.0,0.31,4,69,23
GRID-03B,2023-03-30T07:25:20.207,206.2,51.15,0.410,1,8.6,1,1,4.0,0.33,4,79,24
GRID-03B,2023-05-14T21:24:58.443,68.4,-1.13,0.222,1,8.8,1,1,8.0,0.56,4,81,18
GRID-03B,2023-06-02T07:07:31.260,466.3,6.20,0.218,2,8.6,2,1,5.0,0.33,4,57,16
GRID-03B,2023-06-13T08:34:56.817,739.6,-1.19,0.283,2,10.4,2,2,6.9,0.45,4,38,24
GRID-03B,2023-06-22T07:13:26.171,395.5,39.42,0.252,1,8.7,1,1,5.0,0.33,4,81,19
GRID-03B,2023-07-01T14:50:37.075,175.2,-3.39,0.259,1,16.7,1,3,15.9,0.35,4,44,20
GRID-03B,2023-07-04T17:16:17.500,384.1,45.33,0.264,1,9.7,1,2,7.9,0.30,4,83,21
GRID-03B,2023-07-15T15:54:35.139,51.0,7.34,0.203,1,10.8,1,2,9.0,0.45,3,52,18
GRID-03B,2023-07-27T17:27:41.107,30.5,-27.88,0.316,1,7.7,1,1,8.0,0.25,4,65,20
GRID-03B,2023-08-08T19:53:50.655,353.6,-3.77,0.219,2,31.6,2,3,13.9,1.00,1,6,21
GRID-03B,2023-08-10T09:50:45.572,333.8,15.62,0.506,2,20.0,2,2,8.9,0.95,2,26,27
GRID-03B,2023-08-10T09:53:45.325,625.8,26.94,0.859,1,19.1,1,2,7.8,0.90,3,36,21
GRID-03B,2023-08-19T11:19:35.885,118.7,-31.35,0.312,1,7.7,1,2,7.9,0.38,4,28,23
GRID-03B,2023-08-31T09:33:56.322,501.2,29.46,0.191,1,8.8,1,1,3.0,0.33,4,83,16
GRID-03B,2023-09-23T15:04:43.919,184.8,37.78,0.276,1,7.7,1,1,5.0,0.38,4,68,21
GRID-03B,2023-10-09T12:02:33.915,94.7,-8.98,0.243,1,11.8,1,2,11.0,0.50,3,34,19
GRID-03B,2023-11-01T06:59:19.447,561.7,-12.01,0.206,1,6.8,1,2,7.0,0.29,4,83,18
GRID-03B,2023-11-02T11:56:52.777,514.0,-19.78,0.186,2,9.6,2,1,5.0,0.30,4,85,19
GRID-03B,2023-11-03T17:57:56.419,67.2,11.00,0.181,1,10.8,1,1,11.0,0.36,4,62,17
GRID-03B,2023-11-04T15:56:59.292,170.2,3.26,0.182,1,8.8,1,2,9.0,0.44,3,18,20
GRID-03B,2023-11-18T11:39:47.324,425.8,4.29,0.327,2,9.3,2,1,5.0,0.40,4,37,24
GRID-03B,2024-01-14T13:50:21.606,386.0,-33.96,0.389,2,10.2,2,2,5.9,0.36,4,46,26
GRID-03B,2024-01-18T15:57:04.315,43.9,3.05,0.176,1,11.8,1,1,10.0,0.33,4,35,17
GRID-04,2022-04-14T21:08:44.692,979.4,-33.51,2.637,4,94.5,4,1,4.7,0.34,4,14,12
GRID-04,2022-08-19T11:42:21.034,941.5,-29.53,2.025,4,65.9,4,1,3.8,0.36,4,14,6
GRID-04,2022-08-19T13:18:05.791,997.1,-28.01,2.326,3,81.0,3,1,5.8,0.32,4,16,7
GRID-04,2024-01-01T06:15:24.361,977.8,44.89,3.149,3,55.6,3,1,3.7,0.28,4,18,21
GRID-04,2024-01-02T03:23:39.487,971.3,-36.50,1.240,4,73.0,4,1,3.9,0.31,4,23,29
GRID-04,2024-01-09T01:39:19.562,954.9,-38.53,1.516,4,44.9,4,1,2.8,0.29,4,17,16
GRID-04,2024-01-19T03:05:49.438,858.8,-36.51,1.208,4,61.2,4,2,6.8,0.33,4,18,24
GRID-04,2024-01-26T20:04:19.632,978.2,-48.72,0.732,4,30.1,4,1,3.9,0.36,4,22,15
GRID-04,2024-01-29T15:55:07.260,981.1,-21.18,0.559,2,29.9,2,7,22.6,0.97,2,11,12
GRID-04,2024-02-01T13:10:09.634,964.2,53.03,0.628,4,42.5,4,1,3.9,0.31,4,18,14
GRID-07,2024-01-02T11:17:09.810,966.1,49.67,1.877,4,57.5,5,1,4.8,0.29,4,16,17
GRID-07,2024-01-27T22:32:39.874,943.4,-52.25,1.513,4,48.9,4,1,2.8,0.29,4,32,29
GRID-07,2024-02-03T03:55:09.694,919.6,-47.08,1.139,4,43.4,4,1,3.9,0.31,4,30,28
