idx,start,fa,lon,lat,alt_km,lst_h,T50_us,T50_err_us,T90_us,T90_err_us,n_core,n_net,n_deadcorr,rate_bkg_cps,deadfrac_burst_max,deadfrac_burst_mean,deadfrac_bkg,saturated,ks_p
0,2024-06-27T14:23:08.792580991Z,1.330e-06,-178.1689,-10.8807,629.3,2.51,73.3,24.0,178.8,58.6,12,11.6,13.3,1712,0.1193,0.0973,0.006231,0,0.1266
1,2024-06-30T10:39:41.827329993Z,1.255e-29,-87.4873,17.8010,628.7,4.83,50.5,16.0,123.2,39.1,24,23.7,37.9,2300,0.4660,0.3037,0.006904,0,0.9653
2,2024-07-12T06:00:25.955900996Z,1.640e-16,-97.5663,20.1098,624.6,23.50,66.0,17.9,161.0,43.7,20,19.4,27.4,2962,0.2868,0.2676,0.008367,0,0.2955
3,2024-07-12T21:09:20.065649986Z,1.980e-11,163.9371,3.1162,629.3,8.08,22.5,3.9,54.9,9.6,13,12.8,21.0,2750,0.4793,0.3783,0.007671,0,0.9986
4,2024-07-13T09:55:44.361445993Z,2.215e-14,-68.1136,20.5168,626.1,5.39,18.6,8.5,45.3,20.6,13,12.9,64.3,2000,0.8413,0.7163,0.006108,0,0.6296
5,2024-07-20T05:19:31.509737014Z,2.942e-09,-75.3536,27.4836,625.7,0.30,37.7,12.4,91.8,30.3,13,12.7,16.6,2438,0.2619,0.2117,0.007184,0,0.4194
6,2024-07-20T08:45:36.493826985Z,3.196e-20,-83.4540,13.0323,623.8,3.20,86.2,12.1,210.3,29.5,21,20.4,26.0,2300,0.2054,0.1916,0.006577,0,0.7298
7,2024-07-20T11:33:11.620254993Z,3.336e-06,127.9988,23.0065,628.6,20.09,24.2,6.0,59.0,14.6,10,9.8,14.5,2500,0.3964,0.2901,0.007207,0,0.7927
8,2024-07-23T22:45:06.286870002Z,5.942e-24,78.2683,-7.1937,625.9,3.97,42.2,4.9,103.0,12.0,21,20.7,30.6,2175,0.3993,0.2329,0.006837,0,0.8727
9,2024-07-24T06:39:32.343596994Z,8.149e-18,-79.6480,12.6835,624.3,1.35,41.6,6.1,101.5,14.9,17,16.7,27.7,2200,0.4674,0.2672,0.006468,0,0.9903
10,2024-07-26T05:36:58.883361011Z,1.795e-31,-76.1527,11.6650,625.1,0.54,46.4,5.5,113.1,13.3,24,23.8,48.4,1700,0.5695,0.4696,0.006188,0,0.8179
11,2024-08-02T02:41:35.628547996Z,4.606e-11,-91.5941,16.0333,630.2,20.59,23.7,10.2,57.8,24.9,13,12.8,29.7,3012,0.6634,0.4205,0.008716,0,0.3256
12,2024-08-08T17:01:41.653057992Z,1.506e-06,-68.0501,28.3437,629.3,12.49,14.3,2.3,34.8,5.5,9,8.9,92.5,2400,1.0259,0.7785,0.007336,1,0.8673
13,2024-08-09T17:17:00.246165990Z,3.660e-22,-85.7712,27.4738,628.0,11.57,91.9,19.5,224.2,47.6,24,23.3,31.0,2738,0.2870,0.2113,0.008940,0,0.2292
14,2024-08-11T14:32:06.178012013Z,2.639e-12,-75.8088,23.5245,625.3,9.48,54.4,11.5,132.6,28.2,16,15.6,19.6,2362,0.2067,0.1550,0.007985,0,0.8628
15,2024-08-11T19:38:51.873010993Z,1.661e-06,-90.4555,26.8037,629.1,13.62,19.9,17.6,48.6,43.0,10,9.8,20.1,2738,0.5728,0.5109,0.011292,0,0.4421
16,2024-08-14T13:39:31.620433986Z,1.535e-21,-106.1045,15.3324,623.3,6.58,66.6,20.6,162.5,50.2,23,22.4,28.7,2838,0.2531,0.1758,0.008153,0,0.8127
17,2024-08-15T17:36:57.621439009Z,3.885e-06,-68.7723,21.6334,626.9,13.03,47.7,19.6,116.3,47.8,12,11.7,14.2,1975,0.2276,0.1545,0.007689,0,0.7911
18,2024-08-16T14:25:08.492702990Z,1.009e-09,-86.0625,28.3676,624.6,8.68,30.0,6.5,73.1,15.9,12,11.8,15.1,2488,0.2343,0.2030,0.009737,0,0.9864
19,2024-08-22T01:15:42.522466003Z,1.885e-16,11.9049,8.6943,627.5,2.06,59.6,15.5,145.4,37.8,21,20.3,28.5,4200,0.2839,0.2521,0.011588,0,0.4083
20,2024-08-22T12:58:56.901964992Z,9.253e-22,-76.3114,28.0454,624.3,7.89,117.2,27.3,285.8,66.6,25,24.2,30.5,2338,0.2213,0.1735,0.008678,0,0.8424
21,2024-08-24T15:15:36.753755003Z,5.944e-12,-101.3833,22.6881,623.5,8.50,68.7,50.9,167.6,124.0,16,15.5,19.5,2525,0.2118,0.1610,0.006709,0,0.7744
22,2024-08-26T12:29:15.240817993Z,2.113e-09,-95.6627,27.7532,625.6,6.11,50.6,15.0,123.3,36.6,14,13.6,18.3,2688,0.2501,0.2194,0.009046,0,0.9101
23,2024-08-28T00:19:54.345310002Z,4.234e-12,128.4837,9.8283,623.0,8.90,86.7,25.4,211.4,62.0,19,18.4,21.6,2475,0.1459,0.1135,0.006615,0,0.3101
24,2024-09-04T13:05:35.438160985Z,2.493e-08,122.0809,20.3266,630.5,21.23,25.6,7.5,62.5,18.2,11,10.8,22.2,3112,0.6505,0.4121,0.009246,0,0.8999
25,2024-09-09T22:27:58.995070993Z,8.156e-31,-79.2148,10.8764,625.8,17.19,108.4,19.5,264.4,47.5,30,29.3,36.2,2175,0.1983,0.1653,0.006913,0,0.0619
26,2024-09-10T09:47:18.102483004Z,1.185e-32,106.1298,10.1666,625.2,16.86,116.4,29.0,283.9,70.7,30,29.3,34.5,2088,0.1449,0.1288,0.006851,0,0.2704
27,2024-09-16T13:32:00.545332998Z,2.736e-09,116.9169,22.9620,628.5,21.33,104.2,27.8,254.0,67.7,18,17.0,20.1,3212,0.1484,0.0989,0.009678,0,0.5843
28,2024-09-17T00:48:42.678083002Z,1.251e-13,-67.4009,26.0299,627.7,20.32,43.8,38.3,106.8,93.4,15,14.7,18.2,2400,0.2247,0.1605,0.008079,0,0.1445
29,2024-09-17T02:29:00.085141003Z,5.443e-12,-80.5003,22.7273,628.0,21.12,49.3,13.0,120.3,31.6,15,14.7,18.5,2138,0.2049,0.1918,0.008265,0,0.0968
30,2024-09-19T22:22:44.012023001Z,7.932e-13,-56.9076,27.0025,625.6,18.59,42.2,16.8,102.9,41.0,13,12.7,17.0,2125,0.2774,0.2210,0.007622,0,0.0533
31,2024-09-20T00:05:52.329530Z,5.639e-19,-59.6694,20.6627,626.3,20.12,139.7,50.0,340.7,121.9,23,22.1,25.7,2175,0.1107,0.0805,0.007670,0,0.5928
32,2024-09-22T16:22:27.636195987Z,2.229e-18,-71.8769,15.0374,623.4,11.58,113.8,44.5,277.4,108.5,20,19.2,22.3,2388,0.1112,0.0993,0.007081,0,0.6269
33,2024-09-23T18:15:53.269102990Z,4.902e-15,-108.4975,14.8482,623.9,11.03,141.9,31.1,346.0,75.8,22,21.0,24.7,2488,0.1448,0.1011,0.009265,0,0.2664
34,2024-09-24T17:06:39.438398003Z,1.981e-09,-54.4970,27.9236,623.8,13.48,76.3,47.9,186.0,116.8,14,13.5,17.5,2038,0.2411,0.1861,0.006464,0,0.9624
35,2024-09-24T20:32:08.520056992Z,2.024e-13,-59.6741,25.9260,623.4,16.56,83.0,14.2,202.4,34.7,18,17.4,20.9,2400,0.1863,0.1073,0.006245,0,0.5040
36,2024-09-26T00:11:21.806050986Z,2.377e-14,-90.7375,14.9453,623.1,18.14,45.2,11.5,110.3,28.1,17,16.7,22.5,2425,0.2522,0.2438,0.008715,0,0.3830
37,2024-09-26T16:02:23.390327990Z,2.699e-09,-52.7835,27.9062,624.4,12.52,59.4,12.3,144.8,30.0,14,13.6,17.6,2350,0.2219,0.2032,0.008909,0,0.9630
38,2024-09-26T16:03:31.420836985Z,1.625e-13,-48.3422,28.4616,624.3,12.84,62.9,15.4,153.4,37.6,16,15.6,19.3,2150,0.2084,0.1514,0.008804,0,0.9142
39,2024-09-26T23:47:44.986043989Z,2.326e-12,116.1084,-0.2937,628.6,7.54,85.8,23.3,209.3,56.8,16,15.5,20.8,1825,0.3147,0.2232,0.007892,0,0.4399
40,2024-09-27T00:31:30.934542Z,1.062e-28,-90.4909,8.7122,623.3,18.49,1054.1,190.7,2570.5,465.0,75,66.6,79.7,2688,0.0808,0.0506,0.009889,0,0.1400
41,2024-09-27T21:24:03.788944005Z,4.819e-20,-84.3336,23.2193,622.7,15.78,120.0,17.9,292.7,43.6,23,22.2,27.2,2150,0.1912,0.1382,0.006593,0,0.3224
42,2024-09-28T21:41:03.173889011Z,2.241e-06,-93.7068,22.5293,622.7,15.44,20.9,12.6,50.9,30.8,10,9.8,19.2,2700,0.5782,0.4569,0.011171,0,0.3515
43,2024-09-28T22:41:18.358779996Z,8.249e-44,111.4974,-4.1809,630.5,6.12,82.4,10.8,201.0,26.2,34,33.6,52.7,1650,0.4430,0.3316,0.005405,0,0.4803
44,2024-09-30T09:28:48.496706008Z,1.946e-10,119.2690,4.0762,622.6,17.43,143.6,45.5,350.3,110.9,18,16.9,19.9,2650,0.1076,0.0717,0.006311,0,0.4592
45,2024-10-01T21:03:27.773905992Z,5.230e-15,-69.6415,6.5056,622.3,16.41,47.1,19.8,114.8,48.3,16,15.7,23.6,2312,0.4431,0.2628,0.008541,0,0.9900
46,2024-10-01T21:53:15.470290988Z,4.081e-07,101.6357,-4.3428,631.0,4.66,33.1,151.6,80.6,369.6,10,9.8,11.9,1725,0.1701,0.1559,0.007719,0,0.6785
47,2024-10-05T19:49:26.369778007Z,4.999e-11,120.4056,4.6837,629.4,3.85,55.0,47.5,134.2,115.7,14,13.7,16.2,1900,0.1532,0.1297,0.008108,0,0.4818
48,2024-10-14T11:28:10.461865007Z,4.855e-09,-53.3804,22.4023,629.4,7.91,90.1,34.7,219.8,84.6,15,14.4,16.4,2088,0.0935,0.0832,0.007963,0,0.2637
49,2024-10-14T15:50:36.052275985Z,3.763e-25,126.5323,10.3528,624.7,0.28,67.2,26.8,163.9,65.3,22,21.6,26.7,1862,0.1881,0.1742,0.008046,0,0.8108
50,2024-10-16T19:28:40.816617995Z,9.508e-15,28.6231,-4.7624,623.6,21.39,52.7,12.0,128.6,29.2,19,18.4,23.1,3662,0.1865,0.1776,0.010855,0,0.6710
51,2024-10-17T16:40:55.329416990Z,3.257e-06,97.7839,13.2749,623.2,23.20,16.4,7.2,39.9,17.6,9,8.9,17.4,2862,0.6362,0.3550,0.009683,0,0.9071
52,2024-10-18T20:07:39.748802006Z,6.451e-07,25.7187,7.1407,622.2,21.84,46.4,14.2,113.1,34.6,12,11.4,14.7,4100,0.2477,0.1532,0.010946,0,0.7854
53,2024-10-20T17:57:03.870876997Z,1.158e-08,166.0149,21.6662,627.9,5.02,39.8,17.9,97.1,43.5,13,12.7,16.5,2412,0.2656,0.1944,0.007660,0,0.0754
54,2024-10-21T01:32:01.254462003Z,1.220e-13,-68.8996,8.5491,621.7,20.94,24.1,44.8,58.8,109.2,13,12.8,18.9,2238,0.3929,0.2865,0.008913,0,0.0275
55,2024-10-21T08:38:57.108469992Z,6.718e-09,-30.1053,9.0790,628.4,6.64,82.1,48.4,200.2,118.0,14,13.6,16.4,1700,0.1736,0.1092,0.006011,0,0.4615
56,2024-10-21T14:33:00.629415005Z,1.200e-18,106.7928,15.8077,621.7,21.67,54.7,9.9,133.3,24.1,20,19.5,25.2,2950,0.2314,0.1992,0.009272,0,0.4080
57,2024-10-26T01:24:25.838198006Z,3.066e-22,-72.2784,22.0800,621.9,20.59,42.7,7.5,104.2,18.2,20,19.7,29.7,2638,0.3573,0.3144,0.009039,0,0.5470
58,2024-10-26T23:59:22.250445991Z,3.245e-12,-72.7809,16.3619,622.0,19.14,79.7,24.0,194.3,58.5,16,15.5,18.1,2325,0.1411,0.1058,0.008969,0,0.2286
59,2024-10-27T20:09:00.498403996Z,1.476e-08,145.9323,-10.2979,629.8,5.88,46.9,13.8,114.3,33.6,14,13.6,18.3,2588,0.2799,0.2196,0.009486,0,0.5438
60,2024-10-30T05:20:33.560077995Z,3.887e-28,122.6688,-15.1206,631.3,13.52,73.9,24.4,180.2,59.5,25,24.5,32.0,2100,0.2295,0.2183,0.006590,0,0.1885
61,2024-11-03T06:38:07.638466Z,4.395e-11,118.3672,8.5143,626.7,14.53,98.4,39.9,240.0,97.2,15,14.5,16.6,1812,0.1186,0.0930,0.005177,0,0.5558
62,2024-11-08T22:52:41.583167999Z,9.665e-07,-84.5099,28.9092,626.5,17.24,99.6,30.6,243.0,74.7,15,14.3,17.3,2462,0.1662,0.1042,0.008764,0,0.8685
63,2024-11-12T20:10:23.626280993Z,3.416e-06,171.7076,-9.9727,627.7,7.62,72.8,13.3,177.5,32.4,13,12.5,14.3,2200,0.1159,0.0837,0.006556,0,0.0690
